scale_km2,origin,question_code,support_points_n,state_no_wells_n,state_wells_without_direct_n,state_direct_present_n,state_no_wells_pct,state_wells_without_direct_pct,state_direct_present_pct,control_total_ok,method_version
250,OX25,Q05,14284,9162,2283,2839,64.141697,15.982918,19.875385,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OY25,Q01,14284,9239,642,4403,64.680762,4.494539,30.824699,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OY25,Q02,14284,9239,710,4335,64.680762,4.970596,30.348642,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OY25,Q03,14284,9239,1428,3617,64.680762,9.9972,25.322039,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OY25,Q04,14284,9239,492,4553,64.680762,3.444413,31.874825,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OY25,Q05,14284,9239,2238,2807,64.680762,15.66788,19.651358,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OXY25,Q01,14284,9149,703,4432,64.050686,4.921591,31.027723,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OXY25,Q02,14284,9149,782,4353,64.050686,5.474657,30.474657,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OXY25,Q03,14284,9149,1417,3718,64.050686,9.92019,26.029123,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OXY25,Q04,14284,9149,565,4570,64.050686,3.955475,31.993839,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OXY25,Q05,14284,9149,2281,2854,64.050686,15.968916,19.980398,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,O00,Q01,14284,7501,711,6072,52.513302,4.977597,42.509101,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,O00,Q02,14284,7501,850,5933,52.513302,5.950714,41.535984,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,O00,Q03,14284,7501,1504,5279,52.513302,10.529264,36.957435,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
