scale_km2,unit,unit_area_km2,support_points_n,cells_intersecting_unit,cells_where_unit_dominant,unit_area_in_mixed_cells_pct,unit_area_in_non_dominant_cells_pct,unit_area_weighted_cell_purity_pct,E01_same_unit_support_coverage_pct,E01_apparent_total_support_coverage_pct,E01_cross_unit_masking_pct,E01_masking_share_of_apparent_pct,E07_same_unit_support_coverage_pct,E07_apparent_total_support_coverage_pct,E07_cross_unit_masking_pct,E07_masking_share_of_apparent_pct,E09_same_unit_support_coverage_pct,E09_apparent_total_support_coverage_pct,E09_cross_unit_masking_pct,E09_masking_share_of_apparent_pct,E10_same_unit_support_coverage_pct,E10_apparent_total_support_coverage_pct,E10_cross_unit_masking_pct,E10_masking_share_of_apparent_pct
100,Formação Xaraiés,343.75923352279045,14,30,3,100.00000000000001,58.818901304315595,32.84095679761652,14.285714285714285,42.857142857142854,28.57142857142857,66.66666666666667,7.142857142857142,42.857142857142854,35.714285714285715,83.33333333333333,0.0,7.142857142857142,7.142857142857142,100.0,0.0,7.142857142857142,7.142857142857142,100.0
100,Grupo Bauru,12528.337567810395,489,233,131,57.75756943390759,14.662459496969253,81.84700811501665,20.245398773006134,23.31288343558282,3.067484662576687,13.157894736842104,7.361963190184049,7.361963190184049,0.0,0.0,0.0,0.0,0.0,,16.359918200409,19.018404907975462,2.658486707566462,13.978494623655914
100,Grupo Caiuá,119664.62021003172,4809,1547,1251,33.09905763618561,5.480081589406386,91.24602299462231,21.709295071740485,23.372842586816386,1.6635475150758992,7.117437722419929,7.5691411935953425,8.151382823871907,0.5822416302765648,7.142857142857143,1.0189228529839884,1.1852776044915783,0.16635475150758994,14.035087719298245,15.72052401746725,16.947390309835725,1.2268662923684759,7.2392638036809815
100,Grupo Corumbá,4809.995188364966,190,122,47,91.17586903591878,23.849617375172674,71.77405075535609,17.894736842105264,23.157894736842106,5.263157894736842,22.727272727272727,10.526315789473683,11.052631578947368,0.5263157894736842,4.761904761904762,2.1052631578947367,2.1052631578947367,0.0,0.0,7.894736842105263,11.052631578947368,3.1578947368421053,28.571428571428573
100,Grupo Cuiaba,7297.786607315828,294,175,70,89.03777209382855,24.031749575376967,69.74797017099925,23.809523809523807,27.89115646258503,4.081632653061225,14.634146341463415,11.224489795918368,14.625850340136054,3.4013605442176873,23.25581395348837,2.0408163265306123,2.0408163265306123,0.0,0.0,11.904761904761903,16.3265306122449,4.421768707482993,27.083333333333332
100,Grupo Rio Ivaí,805.1540399989029,35,42,2,100.0,89.46752636971581,27.387462414458643,0.0,17.142857142857142,17.142857142857142,100.0,0.0,11.428571428571429,11.428571428571429,100.0,0.0,0.0,0.0,,0.0,5.714285714285714,5.714285714285714,100.0
150,Depósitos aluvionares,25494.831247864422,1008,542,180,65.49032910095539,29.07158315830466,70.88185439616242,2.6785714285714284,8.134920634920634,5.4563492063492065,67.07317073170732,0.6944444444444444,2.2817460317460316,1.5873015873015872,69.56521739130434,0.5952380952380952,0.6944444444444444,0.0992063492063492,14.285714285714286,2.083333333333333,6.349206349206349,4.265873015873016,67.1875
150,Embasamento Indiferenciado,15977.562385507877,642,254,110,72.77374815902118,20.347046862005495,74.4044190008862,6.230529595015576,8.09968847352025,1.8691588785046727,23.076923076923077,2.803738317757009,4.049844236760125,1.2461059190031152,30.76923076923077,0.0,0.6230529595015576,0.6230529595015576,100.0,2.64797507788162,4.205607476635514,1.557632398753894,37.03703703703704
150,Formação Aquidauana,14941.116542751855,598,193,112,77.5392611504401,10.349547938737807,79.77081222202567,23.91304347826087,32.10702341137124,8.193979933110368,25.520833333333332,8.695652173913043,13.54515050167224,4.849498327759197,35.80246913580247,0.0,0.0,0.0,,15.551839464882944,18.22742474916388,2.6755852842809364,14.678899082568808
150,Formação Botucatu,20768.560894567352,822,272,154,70.87895459317576,15.32266447224579,77.76621987042884,22.99270072992701,29.075425790754256,6.082725060827251,20.92050209205021,10.46228710462287,13.260340632603407,2.798053527980535,21.10091743119266,0.7299270072992701,0.7299270072992701,0.0,0.0,13.503649635036496,18.126520681265205,4.622871046228711,25.503355704697988
150,Formação Cachoeirinha,2112.5851476416437,87,44,20,92.88169340965473,30.504287513915333,62.69819308024887,45.97701149425287,54.02298850574713,8.045977011494253,14.893617021276595,12.643678160919542,12.643678160919542,0.0,0.0,0.0,0.0,0.0,,45.97701149425287,49.42528735632184,3.4482758620689653,6.976744186046512
150,Formação Furnas,4382.366366832952,172,74,36,93.15438334019804,15.009051297591677,66.71542359229613,23.837209302325583,27.906976744186046,4.069767441860465,14.583333333333334,14.534883720930234,16.27906976744186,1.744186046511628,10.714285714285714,2.9069767441860463,2.9069767441860463,0.0,0.0,16.86046511627907,19.186046511627907,2.3255813953488373,12.121212121212121
150,Formação Palermo,43.941366421895324,2,4,0,100.0,100.0,10.368316762656196,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
