unit,area_km2,support_points_n,evidence_code,same_stratum_evidence_n,same_stratum_gap_median_km,same_stratum_gap_p90_km,same_stratum_gap_max_km,any_evidence_gap_median_km,any_evidence_gap_p90_km,p90_additional_distance_when_stratified_km,status
Formação Botucatu,20768.560894567352,822,E09,6,82.47287497484602,249.3623161723269,373.2455479388441,54.88327712667434,114.23271714862,135.1295990237069,OK
Formação Botucatu,20768.560894567352,822,E10,64,17.78772236861358,34.79291068088449,63.210161296801964,14.452086658927737,29.071820831949328,5.721089848935161,OK
Formação Cachoeirinha,2112.5851476416437,87,E01,58,6.715361658513396,18.334226611740863,119.7212185000901,5.676403233558811,14.212733418526087,4.121493193214777,OK
Formação Cachoeirinha,2112.5851476416437,87,E07,10,61.34226169949071,252.79221528764174,267.22911580710684,19.96819595964534,35.124265665390645,217.6679496222511,OK
Formação Cachoeirinha,2112.5851476416437,87,E09,0,,,,95.82114677095518,141.53823475125702,,NO_EVIDENCE_IN_STRATUM
Formação Cachoeirinha,2112.5851476416437,87,E10,37,7.076664649014234,18.373734161709713,120.81481264905115,6.514841579508206,15.315045018768759,3.0586891429409544,OK
Formação Furnas,4382.366366832952,172,E01,75,11.362354635982665,71.78509580717864,131.3830410184994,9.304449659478214,17.124938543930273,54.660157263248365,OK
Formação Furnas,4382.366366832952,172,E07,36,14.974484580311383,72.52148149619559,132.63511479256115,13.350229510489942,22.099487914423168,50.421993581772426,OK
Formação Furnas,4382.366366832952,172,E09,1,67.48878746057156,138.3620761692948,190.488817207276,67.48878746057156,108.5036904833006,29.858385685994193,OK
Formação Furnas,4382.366366832952,172,E10,23,14.494552325834416,71.78509580717864,131.3830410184994,12.253736000166702,21.647139923875407,50.13795588330323,OK
Formação Palermo,43.941366421895324,2,E01,1,57.15006817224257,59.140914037135325,59.63862550335851,25.38931418016835,25.619847030279526,33.5210670068558,OK
Formação Palermo,43.941366421895324,2,E07,1,57.15006817224257,59.140914037135325,59.63862550335851,25.443795787521235,25.671402666085136,33.46951137105019,OK
Formação Palermo,43.941366421895324,2,E09,0,,,,93.37238116872388,94.6778567600897,,NO_EVIDENCE_IN_STRATUM
Formação Palermo,43.941366421895324,2,E10,1,57.15006817224257,59.140914037135325,59.63862550335851,28.43698860413863,28.614226227904727,30.526687809230598,OK
Formação Pantanal,75612.279243078,3032,E01,23,71.23054244815367,139.0237277376409,199.5807094751153,59.02803467981104,133.54927367035165,5.474454067289258,OK
Formação Pantanal,75612.279243078,3032,E07,4,123.30508662548668,234.54121552825464,298.1931444304937,70.07939989236321,140.03767539315578,94.50354013509886,OK
Formação Pantanal,75612.279243078,3032,E09,0,,,,106.78928947356053,170.45621922107057,,NO_EVIDENCE_IN_STRATUM
Formação Pantanal,75612.279243078,3032,E10,14,102.18263913379943,232.03045068764345,293.71033637889576,66.24611160156302,139.6800877579197,92.35036292972376,OK
Formação Ponta Grossa,1848.67307640244,74,E01,34,9.440356651411891,36.52772989159839,78.48968107737979,6.475159496109395,17.114021550382958,19.413708341215433,OK
Formação Ponta Grossa,1848.67307640244,74,E07,14,11.41876924123442,36.70544410112301,78.48968107737979,8.637629623021969,25.062508898598235,11.642935202524772,OK
Formação Ponta Grossa,1848.67307640244,74,E09,0,,,,74.83908692991218,122.52798789788075,,NO_EVIDENCE_IN_STRATUM
Formação Ponta Grossa,1848.67307640244,74,E10,8,15.590765588751925,88.2453736218548,140.8155941046306,10.380301991964965,19.94169377451805,68.30367984733675,OK
Formação Serra Geral,50682.87005918666,2016,E01,1660,5.894588304442271,17.913311504597807,97.27796824656276,5.446418560612411,12.60612240408468,5.307189100513128,OK
Formação Serra Geral,50682.87005918666,2016,E07,412,14.205722806715011,35.470119129816354,179.36113375836257,12.057862744993106,25.861497899100726,9.608621230715627,OK
Formação Serra Geral,50682.87005918666,2016,E09,15,55.67821250889821,114.00957525522338,392.30088291285244,44.34838331343302,77.26857862388005,36.740996631343336,OK
Formação Serra Geral,50682.87005918666,2016,E10,917,8.838241327912776,27.559385733470968,103.64068655799251,7.875108390515662,19.43380882329584,8.125576910175127,OK
Formação Xaraiés,343.75923352279045,14,E01,2,269.13778971698986,286.68932692774695,290.3307413839641,7.068854901098648,15.238495868580134,271.45083105916683,OK
Formação Xaraiés,343.75923352279045,14,E07,1,271.1513003858158,288.2245812875532,291.2597610210257,7.068854901098648,17.006541688292213,271.218039599261,OK
Formação Xaraiés,343.75923352279045,14,E09,0,,,,26.692564412140158,42.22250814951007,,NO_EVIDENCE_IN_STRATUM
Formação Xaraiés,343.75923352279045,14,E10,0,,,,10.683853725045918,16.347551334618252,,NO_EVIDENCE_IN_STRATUM
Grupo Bauru,12528.337567810395,489,E01,250,15.854076575871888,50.14893273180617,194.36360361066298,11.997483208617776,24.09608395595358,26.05284877585259,OK
Grupo Bauru,12528.337567810395,489,E07,40,21.65703363194286,55.157661269739435,211.3455424003854,20.016497975983658,36.55873339805616,18.598927871683273,OK
Grupo Bauru,12528.337567810395,489,E09,0,,,,66.13926279131071,134.29502507089876,,NO_EVIDENCE_IN_STRATUM
Grupo Bauru,12528.337567810395,489,E10,107,18.617219414371966,56.984971434541755,207.926369872036,13.502960333882582,26.826371357570718,30.158600076971037,OK
Grupo Caiuá,119664.62021003172,4809,E01,1305,11.034082998045532,25.688625682918598,71.94086430151192,10.443477721324578,22.63243804971657,3.056187633202029,OK
Grupo Caiuá,119664.62021003172,4809,E07,386,22.814665326920668,45.40047565716777,84.64873555070884,20.121398793743694,38.327522933173285,7.072952723994483,OK
Grupo Caiuá,119664.62021003172,4809,E09,23,62.70053610649963,131.39717067202747,214.07776144458504,51.37869614796924,94.05262820324309,37.34454246878438,OK
Grupo Caiuá,119664.62021003172,4809,E10,765,14.206359466930454,32.29973286015733,72.28628037035554,13.131165904451354,27.814985870227176,4.4847469899301515,OK
Grupo Corumbá,4809.995188364966,190,E01,36,16.03533405670373,30.024791354494486,150.23097246660745,11.462481101720531,21.97414027737248,8.050651077122005,OK
Grupo Corumbá,4809.995188364966,190,E07,18,22.089436745394465,78.8383699119154,165.7551455624541,17.14635176608426,29.963487205664016,48.87488270625138,OK
Grupo Corumbá,4809.995188364966,190,E09,1,240.36253595680728,321.7287792869999,361.40265482795724,35.526768031459014,77.56135279453824,244.16742649246166,OK
Grupo Corumbá,4809.995188364966,190,E10,16,29.612573651679867,64.58414261760531,150.23097246660745,15.141533813993014,26.31588069940572,38.268261918199585,OK
Grupo Cuiaba,7297.786607315828,294,E01,97,9.454460079759812,21.010365840318816,118.44702031309764,8.384850044761741,16.03893449804972,4.971431342269096,OK
Grupo Cuiaba,7297.786607315828,294,E07,50,17.38210378995003,42.83086321771079,244.14466308194562,13.545267301896313,24.677424410424766,18.153438807286026,OK
Grupo Cuiaba,7297.786607315828,294,E09,3,43.92479256551994,78.3343660674537,318.5230767933361,43.33518615047249,74.38743017165453,3.9469358957991716,OK
Grupo Cuiaba,7297.786607315828,294,E10,30,17.31293639229085,41.10488281236455,244.14466308194562,12.810276263944766,27.10554424864058,13.99933856372397,OK
Grupo Rio Ivaí,805.1540399989029,35,E01,0,,,,13.621663743351258,19.516903836536205,,NO_EVIDENCE_IN_STRATUM
Grupo Rio Ivaí,805.1540399989029,35,E07,0,,,,18.571928390292467,25.716020486313194,,NO_EVIDENCE_IN_STRATUM
Grupo Rio Ivaí,805.1540399989029,35,E09,0,,,,61.24150431171695,129.20313339541823,,NO_EVIDENCE_IN_STRATUM
Grupo Rio Ivaí,805.1540399989029,35,E10,0,,,,15.988980496330518,21.823055934207353,,NO_EVIDENCE_IN_STRATUM
