support_id,unit,unit_assignment_status,domain,domain_assignment_status,x_5880,y_5880
SP5-0007-0044,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7557500.0
SP5-0007-0045,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7562500.0
SP5-0007-0046,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7567500.0
SP5-0007-0047,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7572500.0
SP5-0007-0048,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7577500.0
SP5-0007-0049,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7582500.0
SP5-0007-0050,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7587500.0
SP5-0007-0051,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7592500.0
SP5-0007-0052,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7597500.0
SP5-0007-0053,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7602500.0
SP5-0007-0054,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7607500.0
SP5-0007-0055,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7612500.0
SP5-0007-0056,Embasamento Indiferenciado,OK,Fraturada (Fr),OK,4597500.0,7617500.0
SP5-0007-0057,Embasamento Indiferenciado,OK,Fraturada (Fr),OK,4597500.0,7622500.0
SP5-0007-0058,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7627500.0
SP5-0007-0061,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7642500.0
SP5-0007-0069,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7682500.0
SP5-0007-0070,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7687500.0
SP5-0007-0071,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7692500.0
SP5-0007-0072,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7697500.0
SP5-0007-0073,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7702500.0
SP5-0007-0074,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7707500.0
SP5-0007-0075,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7712500.0
