evidence_code,scale_a_km2,scale_b_km2,presence_jaccard,presence_mismatch_pct,presence_a_pct,presence_b_pct,spearman_density_per100km2
E04,100,500,0.3750598754590452,27.401288154578552,17.782133856062725,42.509101092131054,0.5466366149173821
E04,100,1000,0.2917940277451211,42.17306076729208,17.782133856062725,59.1430971716606,0.4759800758511808
E04,150,250,0.5232882165605095,16.76701204144497,23.06076729207505,30.516661999439933,0.6288363858743464
E04,150,500,0.45683621091927207,24.446933632035844,23.06076729207505,42.509101092131054,0.5955920259693597
E04,150,1000,0.37237026647966337,37.59451134136096,23.06076729207505,59.1430971716606,0.5392997635703269
E04,250,500,0.5506169169020366,21.16353962475497,30.516661999439933,42.509101092131054,0.6443452319950898
E04,250,1000,0.48469742638534663,31.118734248109774,30.516661999439933,59.1430971716606,0.6047792452992736
E04,500,1000,0.6216216216216216,23.718846261551384,42.509101092131054,59.1430971716606,0.6637535419880157
E05,100,150,0.5045489992201716,13.343601232147858,17.621114533744052,22.89974796975637,0.6293498952553678
E05,100,250,0.44818104906937395,18.26519182301876,17.621114533744052,30.313637636516383,0.590939751341641
E05,100,500,0.37313672062830583,27.380285634276113,17.621114533744052,42.35508260991319,0.54593025473315
E05,100,1000,0.29049025398700534,42.04704564547746,17.621114533744052,58.8560627275273,0.4752410944715286
E05,150,250,0.5238572574178028,16.626995239428734,22.89974796975637,30.313637636516383,0.6296707700364068
E05,150,500,0.4557238794315165,24.39792775133016,22.89974796975637,42.35508260991319,0.5958744421253034
E05,150,1000,0.37178432984846704,37.4404928591431,22.89974796975637,58.8560627275273,0.538825611537422
E05,250,500,0.5492537313432836,21.142537104452536,30.313637636516383,42.35508260991319,0.6441441743124464
E05,250,1000,0.4843258361496329,30.97871744609353,30.313637636516383,58.8560627275273,0.6045750468664464
E05,500,1000,0.6203765971755212,23.711845421450576,42.35508260991319,58.8560627275273,0.6642028423772178
E06,100,150,0.5027726432532348,13.18258190982918,17.327079249509943,22.514701764211704,0.6280715653316025
E06,100,250,0.44657062997204905,18.020162419490337,17.327079249509943,29.774572948753853,0.589451408725449
E06,100,500,0.3738562091503268,26.827219266311957,17.327079249509943,41.535984318118174,0.5461032611159787
E06,100,1000,0.28978906999041226,41.48697843741249,17.327079249509943,58.01596191542985,0.4746494654071974
E06,150,250,0.5227319062181448,16.38896667600112,22.514701764211704,29.774572948753853,0.6293832330627451
E06,150,500,0.45661518866422546,23.893867264071687,22.514701764211704,41.535984318118174,0.595911790616882
E06,150,1000,0.3705468843083522,36.98543825259031,22.514701764211704,58.01596191542985,0.5378768031396264
E06,250,500,0.5501445746461726,20.69448333800056,29.774572948753853,41.535984318118174,0.6457147267997322
E06,250,1000,0.48226950354609927,30.663679641556985,29.774572948753853,58.01596191542985,0.6058337595911794
E06,500,1000,0.6201435570240401,23.340800896107535,41.535984318118174,58.01596191542985,0.6683877200657915
E07,100,150,0.42147012162876785,7.658919070288435,7.987958555026603,10.830299635956314,0.5700349941554814
E07,100,250,0.3493312352478363,11.57938952674321,7.987958555026603,16.024922990758892,0.5124220774862838
E07,100,500,0.27430744160782183,18.706244749369922,7.987958555026603,24.85998319798376,0.4613939305226246
E07,100,1000,0.19347277316985215,31.31475777093251,7.987958555026603,38.35060207224867,0.3787086126377809
E07,150,250,0.40925789860396766,11.257350882105852,10.830299635956314,16.024922990758892,0.5445316220808482
E07,150,500,0.3352540597171294,17.768132175861105,10.830299635956314,24.85998319798376,0.49170007619774697
E07,150,1000,0.2549124687388353,29.20050406048726,10.830299635956314,38.35060207224867,0.4322721361367689
E07,250,500,0.4250854075158614,16.4939792775133,16.024922990758892,24.85998319798376,0.5434055662155096
E07,250,1000,0.36382791922739244,25.364043685242226,16.024922990758892,38.35060207224867,0.5092748840235903
E07,500,1000,0.47967879383808587,22.22766732007841,24.85998319798376,38.35060207224867,0.5634288493544852
E08,100,150,0.4228723404255319,7.595911509381126,7.966956034724166,10.760291234948195,0.571387116973988
E08,100,250,0.3488372093023256,11.565387846541585,7.966956034724166,15.989918790254832,0.5117890051700984
E08,100,500,0.2754098360655738,18.566227947353685,7.966956034724166,24.712965555866703,0.4625082800671438
E08,100,1000,0.19293184276956366,31.335760291234948,7.966956034724166,38.35060207224867,0.37823737030666044
E08,150,250,0.4099630996309963,11.194343321198543,10.760291234948195,15.989918790254832,0.5458690462007733
E08,150,500,0.33517786561264823,17.663119574348922,10.760291234948195,24.712965555866703,0.49214124587811264
E08,150,1000,0.2531261164701679,29.27051246149538,10.760291234948195,38.35060207224867,0.4307578355002109
E08,250,500,0.4253493503309635,16.409969196303557,15.989918790254832,24.712965555866703,0.5433674082103754
E08,250,1000,0.3629499561018437,25.39904788574629,15.989918790254832,38.35060207224867,0.5091690481326296
