scale_km2,evidence_code,variant_a,variant_b,presence_jaccard,presence_mismatch_pct,spearman_counts_support,presence_a_pct,presence_b_pct
100,E09,OY25,OXY25,0.3583815028901734,0.7770932511901428,0.5259122353428002,0.8681041725007002,0.7770932511901428
100,E10,O00,OX25,0.5441176470588235,8.464015681881826,0.6754252410916116,14.526743209185103,14.141697003640436
100,E10,O00,OY25,0.6118881118881119,6.993839260711285,0.7327639581706015,14.526743209185103,14.519742369084291
100,E10,O00,OXY25,0.48062296269467586,10.039204704564547,0.6118098887269812,14.526743209185103,14.092691122934752
100,E10,OX25,OY25,0.4903531124863487,9.801176141136935,0.6229637212640944,14.141697003640436,14.519742369084291
100,E10,OX25,OXY25,0.5921831819976313,7.231867824138896,0.720717359168415,14.141697003640436,14.092691122934752
100,E10,OY25,OXY25,0.5534017483846446,8.225987118454213,0.6835407372207227,14.519742369084291,14.092691122934752
150,E01,O00,OX25,0.6100231627711097,12.965555866704005,0.7112908546797876,26.869224306916827,26.659199103892465
150,E01,O00,OY25,0.6362083689154568,11.929431531783814,0.7364336728129699,26.869224306916827,26.785214225707083
150,E01,O00,OXY25,0.5580020387359836,15.177821338560626,0.6542682315804481,26.869224306916827,26.631195743489215
150,E01,OX25,OY25,0.5678784144588211,14.729767572108655,0.66216302487925,26.659199103892465,26.785214225707083
150,E01,OX25,OXY25,0.6483326115201385,11.369364323718846,0.7452852751118378,26.659199103892465,26.631195743489215
150,E01,OY25,OXY25,0.6227137388345385,12.41949033884066,0.7188094158728875,26.785214225707083,26.631195743489215
150,E07,O00,OX25,0.47880539499036606,7.57490898907869,0.6144643921732532,10.830299635956314,10.662279473536824
150,E07,O00,OY25,0.5297648824412207,6.5807896947633715,0.6641025811859139,10.830299635956314,10.57826939232708
150,E07,O00,OXY25,0.4212488350419385,8.695043405208624,0.552810734948034,10.830299635956314,10.522262671520583
150,E07,OX25,OY25,0.4105067410506741,8.877065247829739,0.5420718541950035,10.662279473536824,10.57826939232708
150,E07,OX25,OXY25,0.5275113579000504,6.552786334360124,0.6619998688433589,10.662279473536824,10.522262671520583
150,E07,OY25,OXY25,0.4928182268449728,7.168860263231588,0.6308152818791072,10.57826939232708,10.522262671520583
150,E09,O00,OX25,0.4125874125874126,1.1761411369364323,0.5789153223219266,1.3371604592551105,1.4911789414729768
150,E09,O00,OY25,0.49606299212598426,0.8961075329039485,0.658631261877071,1.3371604592551105,1.3231587790534864
150,E09,O00,OXY25,0.29896907216494845,1.4281713805656677,0.4536943165438566,1.3371604592551105,1.3091570988518622
150,E09,OX25,OY25,0.33554817275747506,1.4001680201624196,0.49672112113879696,1.4911789414729768,1.3231587790534864
150,E09,OX25,OXY25,0.45985401459854014,1.0361243349201905,0.6265472184653041,1.4911789414729768,1.3091570988518622
150,E09,OY25,OXY25,0.3722627737226277,1.2041444973396809,0.537162379709866,1.3231587790534864,1.3091570988518622
150,E10,O00,OX25,0.5568312284730195,10.809297115653878,0.675567292381034,18.95127415289835,19.021282553906467
150,E10,O00,OY25,0.6014277215942891,9.381125735088212,0.7200844587751657,18.95127415289835,18.741248949873984
150,E10,O00,OXY25,0.5116934347703579,12.132455894707366,0.6284829890687359,18.95127415289835,18.608232987958555
150,E10,OX25,OY25,0.514743049705139,12.097451694203304,0.6296159104186478,19.021282553906467,18.741248949873984
150,E10,OX25,OXY25,0.627801332525742,8.604032483898068,0.7398431215085247,19.021282553906467,18.608232987958555
150,E10,OY25,OXY25,0.5700412007062978,10.228227387286475,0.6858800429356795,18.741248949873984,18.608232987958555
250,E01,O00,OX25,0.6510382868267359,15.05880705684682,0.7183308972190169,35.38924670960515,35.85830299635956
250,E01,O00,OY25,0.6937782995136677,12.78353402408289,0.7747000734197215,35.38924670960515,35.319238308597036
250,E01,O00,OXY25,0.6128521684077239,17.12405488658639,0.6810357831970002,35.38924670960515,35.949313917670125
250,E01,OX25,OY25,0.6122740247383445,17.117054046485578,0.6804714805691451,35.85830299635956,35.319238308597036
250,E01,OX25,OXY25,0.6993041749502982,12.706524782973958,0.7685119488852727,35.85830299635956,35.949313917670125
250,E01,OY25,OXY25,0.6523291673429638,14.995799495939513,0.7230944484492369,35.319238308597036,35.949313917670125
250,E07,O00,OX25,0.48255624388653406,11.110333239988798,0.6011997157417189,16.024922990758892,15.807896947633715
250,E07,O00,OY25,0.5603085553997195,8.77905348641837,0.6814330142277834,16.024922990758892,15.128815457854945
250,E07,O00,OXY25,0.4389240506329114,12.412489498739848,0.5529577068241722,16.024922990758892,15.807896947633715
250,E07,OX25,OY25,0.4259438528557599,12.45449453934472,0.5391008938051245,15.807896947633715,15.128815457854945
250,E07,OX25,OXY25,0.5524235132347886,9.115093811257351,0.6720106996387808,15.807896947633715,15.807896947633715
250,E07,OY25,OXY25,0.4759519038076152,10.984318118174182,0.5964537158277926,15.128815457854945,15.807896947633715
250,E09,O00,OX25,0.40240963855421685,1.7362083450014003,0.5661140391036872,2.00224026883226,2.072248669840381
250,E09,O00,OY25,0.4739583333333333,1.4141697003640437,0.6373538538880571,2.00224026883226,1.9602352282273874
250,E09,O00,OXY25,0.32181425485961124,2.1982637916549983,0.4775969745954559,2.00224026883226,2.2822738728647436
250,E09,OX25,OY25,0.2828507795100223,2.2542705124614955,0.4306171088183217,2.072248669840381,1.9602352282273874
250,E09,OX25,OXY25,0.47393364928909953,1.5541865023802857,0.6375167485208041,2.072248669840381,2.2822738728647436
250,E09,OY25,OXY25,0.36794582392776526,1.9602352282273874,0.5298404859138429,1.9602352282273874,2.2822738728647436
250,E10,O00,OX25,0.5708787684413086,14.05068608232988,0.6738458161589771,25.077009241108932,26.358162979557548
250,E10,O00,OY25,0.6402369560264297,11.054326519182302,0.7441475429361845,25.077009241108932,25.322038644637356
250,E10,O00,OXY25,0.5310402684563759,15.653878465415849,0.6286047743946716,25.077009241108932,26.029123494819377
