cell_id,scale_km2,variant,area_effective_km2,area_effective_pct_nominal,n_E01,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,gap_E01_median_km,gap_E01_p90_km,gap_E07_median_km,gap_E07_p90_km,gap_E09_median_km,gap_E09_p90_km,gap_E10_median_km,gap_E10_p90_km,hydro_support_points_n,hydro_support_units_n,hydro_support_dominant_pct,hydro_support_entropy,hydro_support_classes_n
SCALE-500-O00-00412,500,O00,493.56722044478846,98.71344408895769,0,0,0,0,0,0,0,0,0,0,0,0,11.38195023121112,17.201461132524937,14.192344138631544,18.455259176544285,18.67083798089656,22.586814443770834,11.38195023121112,17.201461132524937,20,2,95.0,0.2863969571159562,1
SCALE-500-O00-00413,500,O00,192.70940181405817,38.54188036281163,2,2,2,2,2,2,1,1,0,1,1,2,3.1396581982627296,5.359315034069254,7.589688277471722,11.486734165879284,11.535030651981852,17.809786063405777,4.117518006414974,6.50226155263202,7,1,100.0,,1
SCALE-500-O00-00414,500,O00,70.36026875493663,14.072053750987326,0,0,0,0,0,0,0,0,0,0,0,0,46.6067665198086,48.138871312015354,99.07031511851802,101.5536463203499,123.2575453643962,124.51563332786252,98.12061338536064,99.83084110234189,3,1,100.0,,1
SCALE-500-O00-00415,500,O00,448.36009652799066,89.67201930559813,0,0,0,0,0,0,0,0,0,0,0,0,35.12473400069369,43.922611422399655,79.61772715328023,88.5618956322994,108.98324232892398,118.40468621857794,82.08857869114692,91.05970446224299,19,2,94.73684210526315,0.2974722489192897,2
SCALE-500-O00-00416,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,42.537426948184816,50.64332148634623,71.08072273638908,79.11535155225799,106.02575185740264,111.25373222079406,76.5270211314403,83.6194490919965,16,2,62.5,0.954434002924965,2
SCALE-500-O00-00417,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,46.36595327041341,52.684893651186016,64.8036333053061,71.1835021360841,94.24505099274867,101.47248108453077,58.459899337829135,68.29007468978783,19,2,73.68421052631578,0.8314743880097293,2
SCALE-500-O00-00418,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,33.64530979100046,43.25515324697447,46.72021882992164,55.60671592383215,76.23968132001279,84.15725266096685,33.64530979100046,43.25515324697447,21,2,90.47619047619048,0.4537163391869449,2
SCALE-500-O00-00419,500,O00,499.9999999999812,99.99999999999623,3,3,0,3,3,3,0,0,0,3,0,3,10.603724777882537,18.255344395660416,25.247718236573583,32.44277272392696,63.33030512034142,71.97695266055827,10.603724777882537,18.255344395660416,21,2,80.95238095238095,0.7024665512903904,1
SCALE-500-O00-00420,500,O00,499.9999999999812,99.99999999999623,3,1,1,1,1,1,0,0,0,1,0,3,7.503438317292296,12.08921755162799,12.99196903927206,17.690679698615046,58.81564098358522,68.50665601052522,7.800505092106138,13.096194239016649,21,3,80.95238095238095,0.5633841440162103,3
SCALE-500-O00-00421,500,O00,499.9999999999812,99.99999999999623,12,11,7,11,11,9,1,1,0,6,8,10,4.481503548714922,6.740041128010538,10.893742335556878,17.674250348767156,64.54249596861906,71.94996115554773,6.166595312561609,10.229037747821854,19,3,52.63157894736842,0.7800729735301214,3
SCALE-500-O00-00422,500,O00,499.9999999999812,99.99999999999623,3,3,0,3,3,2,1,1,0,2,2,3,10.076084849540402,15.538390752945475,11.225296967186452,18.368325728518563,76.58332104966522,83.65237966329786,10.196250040369662,16.38299360774494,16,2,56.25,0.9886994082884974,2
SCALE-500-O00-00423,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,25.705197191848224,35.37933296488103,28.992008717415423,36.45178136355761,92.07721753671424,100.00178867282284,26.50835558800529,35.602520910675295,21,2,90.47619047619048,0.4537163391869449,2
SCALE-500-O00-00424,500,O00,499.9999999999843,99.99999999999686,0,0,0,0,0,0,0,0,0,0,0,0,30.116540222437628,38.81967883669683,36.8496496243019,41.51447243462331,101.9010763549,106.9878810698975,34.57847622457356,41.29012228099339,21,2,95.23809523809523,0.2761954276479391,2
SCALE-500-O00-00425,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,16.372583122874527,23.405187779714897,16.553589015760377,23.626900319806303,79.85706089828307,88.48628057559046,16.372583122874527,23.405187779714897,21,5,47.61904761904761,0.7947976410582406,4
SCALE-500-O00-00426,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,12.852810531982502,16.9640503098596,14.242092912049175,18.45146585491573,60.57008163225533,68.27182365698327,16.647752211570328,21.48250530817689,19,2,94.73684210526315,0.2974722489192897,2
SCALE-500-O00-00427,500,O00,499.9999999999812,99.99999999999623,3,3,2,3,3,3,0,0,0,2,0,1,9.856228138856093,14.570727264720201,15.903050572782767,22.954768167269343,47.33267900516775,55.13149564310066,9.856228138856093,14.570727264720201,16,1,100.0,,1
SCALE-500-O00-00428,500,O00,499.9999999999812,99.99999999999623,15,15,13,13,11,11,3,3,0,7,7,3,3.463297492909029,7.46867433382928,8.07205430932961,16.29312977943083,43.09422947897868,52.513310005883554,4.643809423551907,7.46867433382928,21,2,95.23809523809523,0.2761954276479391,2
SCALE-500-O00-00429,500,O00,499.9999999999812,99.99999999999623,3,3,2,2,2,2,1,1,0,1,1,1,5.743377551998191,8.094163493340748,6.996599026500082,10.720000474367856,44.637398017999104,54.03508071896604,10.042043734364222,14.91760079887378,21,1,100.0,,1
SCALE-500-O00-00430,500,O00,499.9999999999789,99.99999999999578,6,6,5,6,6,6,2,2,0,3,3,2,5.662505555046587,10.182346557789264,9.31503946506547,16.281801745615148,52.38052268402246,56.65060127059471,5.786242068723065,10.182346557789264,21,2,66.66666666666666,0.9182958340544894,2
SCALE-500-O00-00431,500,O00,499.99999999998084,99.99999999999616,0,0,0,0,0,0,0,0,0,0,0,0,13.804372331451809,17.47488111383946,19.315797922806176,24.985150234902733,54.4275890457168,59.66888317463175,14.014499236622793,17.47488111383946,20,2,60.0,0.9709505944546688,3
SCALE-500-O00-00432,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,14.644812947610264,18.413197794281608,21.335056934969316,25.22183065122404,55.68035098125874,61.90501894722033,14.644812947610264,18.54597267992188,16,2,68.75,0.8960382325345574,2
SCALE-500-O00-00433,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,16.634429103668765,20.64752115812626,25.574306504382758,30.78606526797748,41.43471295187919,50.9598558831188,21.53616899533485,28.825231209986395,21,2,52.38095238095239,0.998363672593813,2
SCALE-500-O00-00434,500,O00,499.9999999999812,99.99999999999623,1,1,1,1,1,1,0,0,0,1,0,1,9.824888547193812,14.581270370579055,16.96638713568126,24.98332355969078,17.473999057258048,25.97772851964493,9.824888547193812,14.581270370579055,21,1,100.0,,1
SCALE-500-O00-00435,500,O00,499.9999999999812,99.99999999999623,2,2,2,2,2,2,1,1,1,2,1,2,11.739038045313768,17.459970028126413,12.5077318405176,19.400306223631777,12.5077318405176,19.400306223631777,11.739038045313768,17.459970028126413,21,2,80.95238095238095,0.7024665512903904,2
SCALE-500-O00-00436,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,18.961898438913195,25.399441409348977,34.251031546771955,39.57561033166086,34.251031546771955,39.57561033166086,18.961898438913195,25.399441409348977,21,1,100.0,,1
SCALE-500-O00-00437,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,16.15062904794058,22.008354095881423,42.99905651223497,48.57776814059874,44.80243187175931,52.927498588998006,16.15062904794058,22.008354095881423,16,1,100.0,,1
SCALE-500-O00-00438,500,O00,499.9999999999812,99.99999999999623,1,1,1,1,1,0,0,0,0,1,0,1,15.342325098567532,22.367541281310075,27.0587514300657,36.57265226167037,55.484203328603016,63.53386834526989,15.342325098567532,22.367541281310075,21,1,100.0,,1
SCALE-500-O00-00439,500,O00,499.9999999999812,99.99999999999623,1,1,1,1,1,1,1,1,0,1,1,1,8.194024067847844,13.159344009120243,9.853997532344716,15.364511007974048,73.90974363659191,82.25759271090743,8.194024067847844,13.159344009120243,21,2,90.47619047619048,0.4537163391869449,2
SCALE-500-O00-00440,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,23.933078255393507,30.13583120519585,23.97762226628436,32.19216579184282,76.09537080916911,84.66114591594298,23.933078255393507,30.13583120519585,21,2,80.95238095238095,0.7024665512903904,2
SCALE-500-O00-00441,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,19.029619860446697,24.18981970231654,33.62922610339605,43.17938694174607,55.42895199242877,63.134419501435765,19.029619860446697,24.18981970231654,21,2,76.19047619047619,0.7918583525674836,1
SCALE-500-O00-00442,500,O00,499.9999999999812,99.99999999999623,3,2,1,1,1,1,0,0,0,2,1,3,7.6676865930469695,13.475227360678874,37.571164167208636,41.03032642737514,41.98987989869446,49.60943549923578,8.10966509436768,13.475227360678874,16,2,56.25,0.9886994082884974,1
SCALE-500-O00-00443,500,O00,499.9999999999812,99.99999999999623,2,2,2,2,2,2,0,0,0,2,1,1,9.746503608341172,14.499561368236444,29.098239495151276,37.3116685596034,29.97574581018528,37.56201988999078,9.914174208872689,14.499561368236444,20,2,75.0,0.8112781244591328,1
SCALE-500-O00-00444,500,O00,499.9999999999812,99.99999999999623,50,49,41,45,44,43,10,10,1,38,15,34,2.805654556464069,5.845184792598731,9.762811743003976,15.511570133762604,10.825943823079449,15.521539260487971,2.961660317517344,6.831679871599905,21,3,47.61904761904761,0.8559631658263382,2
SCALE-500-O00-00445,500,O00,38.68587284355776,7.737174568711552,0,0,0,0,0,0,0,0,0,0,0,0,3.6134778494051396,3.6287460672312895,5.963792669958599,7.859312744227516,10.72866834926387,11.140376503786104,6.637505567173273,7.408754761244759,2,1,100.0,,1
SCALE-500-O00-00446,500,O00,76.71402962153398,15.342805924306797,0,0,0,0,0,0,0,0,0,0,0,0,26.607943664188348,27.087215890912915,77.63866361054386,79.28056425012821,92.7425539477932,94.47260618580583,72.19593081156617,73.64026927898675,2,1,100.0,,1
SCALE-500-O00-00447,500,O00,459.64717193543913,91.92943438708782,0,0,0,0,0,0,0,0,0,0,0,0,17.533778275988585,24.553921895826637,70.16368795604572,77.68238225136616,91.64413905690262,98.27815426954137,67.66104617086656,74.88241369634889,19,1,100.0,,1
SCALE-500-O00-00448,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,20.473700241308258,28.239157792883137,57.3791123573517,64.39825261170256,87.88011640907763,94.53914779870242,60.14734989886813,67.85195898915862,20,2,95.0,0.2863969571159562,2
SCALE-500-O00-00449,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,26.59096759321583,35.717572050158275,49.11614713993416,58.85788165337005,89.65122160185189,98.6508051285445,57.761241751982034,65.2895043243805,21,2,85.71428571428571,0.5916727785823274,2
SCALE-500-O00-00450,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,31.15876584811348,38.51564615641597,52.69519442506612,57.65266644380105,93.56434456748124,97.43931950003208,43.47008148635227,50.58275175680897,20,2,80.0,0.7219280948873623,2
SCALE-500-O00-00451,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,24.343868668201644,29.295244162094022,46.34246063628521,52.99004888519857,87.97988725112032,95.33617683181335,30.236363491264214,34.36122343450823,18,2,61.111111111111114,0.964078764808229,2
SCALE-500-O00-00452,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,20.214647045210253,26.520369426003167,28.563044492553693,35.67411780549228,80.73926299197984,88.94338932497071,20.214647045210253,26.520369426003167,21,3,61.904761904761905,0.8342820655073296,3
SCALE-500-O00-00453,500,O00,499.9999999999812,99.99999999999623,1,1,1,1,1,1,1,1,0,1,1,1,8.589845167684548,13.848185945811963,8.589845167684548,13.848185945811963,79.70642145138103,88.75656734724579,8.589845167684548,13.848185945811963,20,1,100.0,,1
SCALE-500-O00-00454,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,12.304749068832868,20.641687132060024,12.304749068832868,20.641687132060024,86.7628138642883,95.38207398308052,12.304749068832868,20.641687132060024,21,2,76.19047619047619,0.7918583525674836,2
SCALE-500-O00-00455,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,25.49639678776513,33.26973213015911,28.75614802673583,36.534772835114566,100.03808317260761,107.75779314659384,25.49639678776513,33.26973213015911,20,2,90.0,0.46899559358928117,2
SCALE-500-O00-00456,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,45.45033294853409,50.97562719372221,47.6081088107374,54.12496755018169,113.28708714443312,120.04257678323148,46.22140410844143,50.97562719372221,21,2,95.23809523809523,0.2761954276479391,2
SCALE-500-O00-00457,500,O00,499.99999999998124,99.99999999999625,0,0,0,0,0,0,0,0,0,0,0,0,39.38474876308207,46.92789108758637,39.4950454728088,47.146036425992506,102.72261720991145,110.1098402791174,39.719905360568596,46.92789108758637,18,1,100.0,,1
SCALE-500-O00-00458,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,23.560518640828562,29.639975437423065,23.560518640828562,29.658867028064833,85.28069523836945,92.87952162415164,30.004057964054084,35.63211976789278,20,4,40.0,0.9232196723355077,3
SCALE-500-O00-00459,500,O00,499.9999999999812,99.99999999999623,3,3,3,2,2,2,2,2,0,0,2,2,7.052872776424965,10.01623855960011,7.099430468172003,10.01623855960011,71.15564509395801,79.46947301652006,16.94942074446169,24.49401010303944,21,4,57.14285714285714,0.8002256046491258,3
SCALE-500-O00-00460,500,O00,499.9999999999812,99.99999999999623,10,8,5,8,8,8,4,4,0,4,5,7,5.815312430630357,11.16309997617607,8.90181166549724,15.10996163827635,63.32477039887138,72.54312150057976,6.390704466806356,12.163677938028846,20,2,55.00000000000001,0.9927744539878083,2
SCALE-500-O00-00461,500,O00,499.9999999999812,99.99999999999623,4,4,2,4,4,4,1,1,0,2,1,2,4.741358436493169,7.785085856120339,7.117374009439409,10.284977115446928,64.0164771390846,69.36260784494026,10.454059723802377,15.315421007421635,20,2,85.0,0.6098403047164005,2
SCALE-500-O00-00462,500,O00,499.9999999999812,99.99999999999623,8,8,7,8,8,7,2,2,0,6,2,1,6.214904510689914,11.149623147113502,10.3373313784403,14.546472152083542,56.29752641226597,60.848698237105424,7.32764370877463,11.870066651383274,18,2,83.33333333333334,0.6500224216483541,2
SCALE-500-O00-00463,500,O00,499.9999999999812,99.99999999999623,8,8,6,6,5,5,2,2,0,4,4,4,5.175930917168821,10.128636227845206,9.997659583021544,14.317378707712308,41.27623160872372,48.411174976045885,5.678732560907889,11.043017035754499,20,2,80.0,0.7219280948873623,2
