well_id,scale_km2,cell_id,assignment_method,assignment_distance_m,boundary_candidates_n
3500045700,100,SCALE-100-O00-01561,POINT_IN_POLYGON_WGS84,0.0,1
3500073618,100,SCALE-100-O00-02452,POINT_IN_POLYGON_WGS84,0.0,1
3500073632,100,SCALE-100-O00-01307,POINT_IN_POLYGON_WGS84,0.0,1
3500073631,100,SCALE-100-O00-01307,POINT_IN_POLYGON_WGS84,0.0,1
3500073647,100,SCALE-100-O00-01820,POINT_IN_POLYGON_WGS84,0.0,1
3500073650,100,SCALE-100-O00-01578,POINT_IN_POLYGON_WGS84,0.0,1
3500073659,100,SCALE-100-O00-00323,POINT_IN_POLYGON_WGS84,0.0,1
3500073664,100,SCALE-100-O00-02337,POINT_IN_POLYGON_WGS84,0.0,1
3500073661,100,SCALE-100-O00-00047,POINT_IN_POLYGON_WGS84,0.0,1
3500073667,100,SCALE-100-O00-01705,POINT_IN_POLYGON_WGS84,0.0,1
3500073671,100,SCALE-100-O00-00450,POINT_IN_POLYGON_WGS84,0.0,1
3500073679,100,SCALE-100-O00-00167,POINT_IN_POLYGON_WGS84,0.0,1
3500073693,100,SCALE-100-O00-01687,POINT_IN_POLYGON_WGS84,0.0,1
3500073701,100,SCALE-100-O00-01180,POINT_IN_POLYGON_WGS84,0.0,1
3500073707,100,SCALE-100-O00-00559,POINT_IN_POLYGON_WGS84,0.0,1
3500073710,100,SCALE-100-O00-00835,POINT_IN_POLYGON_WGS84,0.0,1
3500073731,100,SCALE-100-O00-01689,POINT_IN_POLYGON_WGS84,0.0,1
3500073737,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500073743,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500073784,100,SCALE-100-O00-00346,POINT_IN_POLYGON_WGS84,0.0,1
3500073782,100,SCALE-100-O00-00726,POINT_IN_POLYGON_WGS84,0.0,1
3500073788,100,SCALE-100-O00-00347,POINT_IN_POLYGON_WGS84,0.0,1
3500073774,100,SCALE-100-O00-00370,POINT_IN_POLYGON_WGS84,0.0,1
3500073777,100,SCALE-100-O00-00110,POINT_IN_POLYGON_WGS84,0.0,1
3500073798,100,SCALE-100-O00-00512,POINT_IN_POLYGON_WGS84,0.0,1
3500073817,100,SCALE-100-O00-00345,POINT_IN_POLYGON_WGS84,0.0,1
3500073840,100,SCALE-100-O00-00340,POINT_IN_POLYGON_WGS84,0.0,1
3500073858,100,SCALE-100-O00-02726,POINT_IN_POLYGON_WGS84,0.0,1
3500073871,100,SCALE-100-O00-00523,POINT_IN_POLYGON_WGS84,0.0,1
3500073879,100,SCALE-100-O00-00374,POINT_IN_POLYGON_WGS84,0.0,1
3500073891,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500073909,100,SCALE-100-O00-01217,POINT_IN_POLYGON_WGS84,0.0,1
3500073908,100,SCALE-100-O00-01588,POINT_IN_POLYGON_WGS84,0.0,1
3500073914,100,SCALE-100-O00-00205,POINT_IN_POLYGON_WGS84,0.0,1
3500073925,100,SCALE-100-O00-00451,POINT_IN_POLYGON_WGS84,0.0,1
3500073930,100,SCALE-100-O00-00206,POINT_IN_POLYGON_WGS84,0.0,1
3500073937,100,SCALE-100-O00-00374,POINT_IN_POLYGON_WGS84,0.0,1
3500073940,100,SCALE-100-O00-00289,POINT_IN_POLYGON_WGS84,0.0,1
3500073946,100,SCALE-100-O00-00804,POINT_IN_POLYGON_WGS84,0.0,1
3500073001,100,SCALE-100-O00-00784,POINT_IN_POLYGON_WGS84,0.0,1
3500072951,100,SCALE-100-O00-03044,POINT_IN_POLYGON_WGS84,0.0,1
3500072906,100,SCALE-100-O00-00450,POINT_IN_POLYGON_WGS84,0.0,1
3500072891,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500072880,100,SCALE-100-O00-01329,POINT_IN_POLYGON_WGS84,0.0,1
3500072833,100,SCALE-100-O00-01687,POINT_IN_POLYGON_WGS84,0.0,1
3500072821,100,SCALE-100-O00-01306,POINT_IN_POLYGON_WGS84,0.0,1
3500072815,100,SCALE-100-O00-01490,POINT_IN_POLYGON_WGS84,0.0,1
3500072773,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500072753,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500072749,100,SCALE-100-O00-03045,POINT_IN_POLYGON_WGS84,0.0,1
3500072733,100,SCALE-100-O00-01624,POINT_IN_POLYGON_WGS84,0.0,1
3500072727,100,SCALE-100-O00-01462,POINT_IN_POLYGON_WGS84,0.0,1
3500072711,100,SCALE-100-O00-02729,POINT_IN_POLYGON_WGS84,0.0,1
3500072702,100,SCALE-100-O00-01372,POINT_IN_POLYGON_WGS84,0.0,1
3500072700,100,SCALE-100-O00-02182,POINT_IN_POLYGON_WGS84,0.0,1
3500072659,100,SCALE-100-O00-03232,POINT_IN_POLYGON_WGS84,0.0,1
3500072614,100,SCALE-100-O00-01689,POINT_IN_POLYGON_WGS84,0.0,1
3500072601,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500072594,100,SCALE-100-O00-00492,POINT_IN_POLYGON_WGS84,0.0,1
3500072528,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500072433,100,SCALE-100-O00-00378,POINT_IN_POLYGON_WGS84,0.0,1
3500072367,100,SCALE-100-O00-01686,POINT_IN_POLYGON_WGS84,0.0,1
3500072353,100,SCALE-100-O00-01433,POINT_IN_POLYGON_WGS84,0.0,1
3500072351,100,SCALE-100-O00-01772,POINT_IN_POLYGON_WGS84,0.0,1
3500072345,100,SCALE-100-O00-00559,POINT_IN_POLYGON_WGS84,0.0,1
3500072342,100,SCALE-100-O00-01998,POINT_IN_POLYGON_WGS84,0.0,1
3500072330,100,SCALE-100-O00-01998,POINT_IN_POLYGON_WGS84,0.0,1
3500072301,100,SCALE-100-O00-01687,POINT_IN_POLYGON_WGS84,0.0,1
3500072293,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500072270,100,SCALE-100-O00-01006,POINT_IN_POLYGON_WGS84,0.0,1
3500072268,100,SCALE-100-O00-00669,POINT_IN_POLYGON_WGS84,0.0,1
3500072228,100,SCALE-100-O00-00504,POINT_IN_POLYGON_WGS84,0.0,1
3500072222,100,SCALE-100-O00-02344,POINT_IN_POLYGON_WGS84,0.0,1
3500072209,100,SCALE-100-O00-02034,POINT_IN_POLYGON_WGS84,0.0,1
3500072181,100,SCALE-100-O00-02521,POINT_IN_POLYGON_WGS84,0.0,1
3500072177,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500072142,100,SCALE-100-O00-01308,POINT_IN_POLYGON_WGS84,0.0,1
3500072134,100,SCALE-100-O00-01997,POINT_IN_POLYGON_WGS84,0.0,1
3500072036,100,SCALE-100-O00-00727,POINT_IN_POLYGON_WGS84,0.0,1
3500072032,100,SCALE-100-O00-01369,POINT_IN_POLYGON_WGS84,0.0,1
3500072028,100,SCALE-100-O00-00405,POINT_IN_POLYGON_WGS84,0.0,1
3500072026,100,SCALE-100-O00-01369,POINT_IN_POLYGON_WGS84,0.0,1
3500071968,100,SCALE-100-O00-00717,POINT_IN_POLYGON_WGS84,0.0,1
3500071958,100,SCALE-100-O00-00504,POINT_IN_POLYGON_WGS84,0.0,1
3500071935,100,SCALE-100-O00-00306,POINT_IN_POLYGON_WGS84,0.0,1
3500071929,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500071879,100,SCALE-100-O00-00315,POINT_IN_POLYGON_WGS84,0.0,1
3500073021,100,SCALE-100-O00-02591,POINT_IN_POLYGON_WGS84,0.0,1
3500073019,100,SCALE-100-O00-02867,POINT_IN_POLYGON_WGS84,0.0,1
3500073014,100,SCALE-100-O00-03104,POINT_IN_POLYGON_WGS84,0.0,1
3500073007,100,SCALE-100-O00-00465,POINT_IN_POLYGON_WGS84,0.0,1
3500073006,100,SCALE-100-O00-00465,POINT_IN_POLYGON_WGS84,0.0,1
3500073043,100,SCALE-100-O00-00212,POINT_IN_POLYGON_WGS84,0.0,1
3500073039,100,SCALE-100-O00-00464,POINT_IN_POLYGON_WGS84,0.0,1
3500073065,100,SCALE-100-O00-01525,POINT_IN_POLYGON_WGS84,0.0,1
3500073064,100,SCALE-100-O00-01690,POINT_IN_POLYGON_WGS84,0.0,1
3500073062,100,SCALE-100-O00-02053,POINT_IN_POLYGON_WGS84,0.0,1
3500073056,100,SCALE-100-O00-00979,POINT_IN_POLYGON_WGS84,0.0,1
3500073054,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500073075,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500073073,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500073098,100,SCALE-100-O00-00338,POINT_IN_POLYGON_WGS84,0.0,1
3500073116,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500073141,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500073156,100,SCALE-100-O00-00450,POINT_IN_POLYGON_WGS84,0.0,1
3500073155,100,SCALE-100-O00-00512,POINT_IN_POLYGON_WGS84,0.0,1
3500073151,100,SCALE-100-O00-00627,POINT_IN_POLYGON_WGS84,0.0,1
