well_id,latitude,longitude,municipality_declared,sgb2024_unit_aflorante,hydrolithologic_domain,source_snapshots_n,source_snapshot_overlap,source_core_pairs_comparable_n,source_core_pairs_matching_n,source_core_match_pct,exact_coordinate_group,exact_coordinate_colocation,coordinate_site_id,duplicate_candidate_level,duplicate_candidate_partners_n,duplicate_candidate_partners,review_cluster_high_id,review_cluster_all_id,nearest_neighbor_m,nn_lt_100m,nn_lt_500m,nn_lt_1000m,pumping_test_records_n,chem_sample_records_n,chem_result_records_n,hydraulic_parameter_records_n,chem_parameter_types_n,hydraulic_parameter_types_n,chem_source_datasets_n,hydraulic_source_datasets_n,specific_capacity_both_sources,specific_capacity_source_echo,domain_aquifer_context,domain_vertical_documentation,domain_water_level,domain_hydraulic,domain_chemistry,documentary_domains_n,dated_domains_n
3500022558,-22.48722199999997,-53.35444399999994,Taquarussu,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022558,NONE,0,,3500022558,3500022558,42.17,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022573,-19.72388799999993,-51.92249999999996,Inocência,Grupo Bauru,Granular,2,TRUE,4,4,100.0,,FALSE,3500022573,NONE,0,,3500022573,3500022573,65.36,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022577,-20.79694399999994,-51.66888799999998,Três Lagoas,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022577,NONE,0,,3500022577,3500022577,84.18,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022603,-17.586387999999943,-54.75055499999996,Sonora,Formação Furnas,Granular,2,TRUE,4,4,100.0,,FALSE,3500022603,NONE,0,,3500022603,3500022603,65.27,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022605,-17.584165999999982,-54.75083299999994,Sonora,Formação Furnas,Granular,2,TRUE,4,4,100.0,,FALSE,3500022605,NONE,0,,3500022605,3500022605,106.06,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022628,-22.85694399999994,-54.634721999999954,Juti,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022628,NONE,0,,3500022628,3500022628,191.98,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022630,-22.631943999999976,-54.81722199999996,Caarapó,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022630,NONE,0,,3500022630,3500022630,318.39,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022632,-22.63638799999996,-54.82944399999997,Caarapó,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022632,NONE,0,,3500022632,3500022632,86.51,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022948,-20.51388799999995,-54.59277699999996,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022948,NONE,0,,3500022948,3500022948,61.35,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022964,-21.25194399999998,-52.03361099999995,Brasilândia,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022964,NONE,0,,3500022964,3500022964,42.17,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500023018,-20.78361099999995,-51.74388799999997,Três Lagoas,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500023018,NONE,0,,3500023018,3500023018,42.01,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500027040,-18.09944399999995,-54.54416699999996,Pedro Gomes,Formação Ponta Grossa,Granular,2,TRUE,4,4,100.0,,FALSE,3500027040,NONE,0,,3500027040,3500027040,65.32,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
