well_id,source_current_present,source_sgb2024_present,latitude,longitude,municipality_declared,municipality_spatial,coordinate_quality_status,nearest_neighbor_m,exact_coordinate_group,nature,situation,use_water,siagas_aquifer,sgb2024_unit_aflorante,sgb2024_unit_subjacente,aquifer_comparison_status,geology_sgb_unit,geology_sgb_sigla,depth_current_m,depth_sgb2024_profundi_1_m,depth_sgb2024_profundida_m,static_level_current_m,static_level_sgb2024_m,dynamic_level_current_m,dynamic_level_sgb2024_m,specific_capacity_current,specific_capacity_sgb2024,test_type_sgb2024,test_date_sgb2024,interpretation_method_sgb2024,transmissivity_sgb2024,permeability_sgb2024,storage_coefficient_sgb2024,stabilized_yield_sgb2024,pump_type_sgb2024,ph_current,electrical_conductivity_current,electrical_conductivity_sgb2024,temperature_current,temperature_sgb2024,turbidity_current,turbidity_sgb2024,chemical_parameter_current,chemical_concentration_current,drilling_date_current,registration_date_current,installation_date_current,drilling_date_sgb2024,analysis_date_sgb2024,collection_date_sgb2024,drilling_method_sgb2024,driller_sgb2024,formation_sgb2024,penetration_type_sgb2024,hydraulic_condition_sgb2024,capture_type_sgb2024,atlas_qlog_record,atlas_explicit_profile,rimas_flag_current
3500022869,True,True,-22.32527699999997,-54.34833299999997,Fátima do Sul,Fátima do Sul,OK,84.18,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,115,115.0,0.0,14.1,14.1,16.22,16.22,7.547,7.547,Rebaixamento,1987-04-01,,,,,16.0,,,,0.0,,,,,,,1987-04-01,2008-08-22,1987-04-01,1987-04-01,,,Rotativo,NOPAR,Formação Serra Geral,,,,0.75,False,False
3500022881,True,True,-22.134999999999934,-54.61916599999995,Dourados,Dourados,OK,84.26,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,94,94.0,0.0,7.95,7.95,28.58,28.58,2.559,2.559,Rebaixamento,1987-04-22,,,,,52.8,,,,0.0,,,,,,,1987-04-22,2008-08-25,1987-04-22,1987-04-22,,,Rotativo,NOPAR,Formação Serra Geral,,,,0.75,False,False
3500022888,True,True,-20.438054999999963,-54.62777699999998,Campo Grande,Campo Grande,OK,135.17,,Poço tubular,Abandonado,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,133,133.0,0.0,27,27.0,60,60.0,0.424,0.424,Rebaixamento,1985-07-19,,,,,14.0,,,,0.0,,,,,,,1985-07-19,2008-08-25,1985-07-19,1985-07-19,,,Rotativo,COPAMAT LTDA.,Formação Serra Geral,,,,0.75,False,False
3500022896,True,True,-20.469165999999973,-54.63916599999993,Campo Grande,Campo Grande,OK,96.57,,Poço tubular,Abandonado,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,145,145.0,0.0,11,11.0,31,31.0,0.7,0.7,Rebaixamento,1978-05-02,,,,,14.0,,,,0.0,,,,,,,1978-05-02,2008-08-25,1978-05-02,1978-05-02,,,Rotativo,HIDROSSOMAT,Formação Serra Geral,,,,0.75,False,False
3500022898,True,True,-20.45194399999997,-54.66833299999996,Campo Grande,Campo Grande,OK,143.88,,Poço tubular,Abandonado,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,135,135.0,0.0,2,2.0,9,9.0,3.143,3.143,Rebaixamento,1979-11-29,,,,,22.0,,,,0.0,,,,,,,1979-11-29,2008-08-25,1979-11-29,1979-11-29,,,Rotativo,NOPAR,Formação Serra Geral,,,,0.75,False,False
3500022899,True,True,-20.49527699999993,-54.66138799999993,Campo Grande,Campo Grande,OK,627.18,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,150,150.0,0.0,17,17.0,45,45.0,0.864,0.864,Rebaixamento,1993-04-20,,,,,24.2,Bomba submersa,,,0.0,,,,,,,1980-03-11,2008-08-25,1980-03-11,1980-03-11,,,Rotativo,LAPA LTDA,Formação Serra Geral,,,,0.75,False,False
3500022915,True,True,-20.41722199999998,-54.55694399999999,Campo Grande,Campo Grande,OK,600.29,,Poço tubular,Bombeando,,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,Grupo Caiuá,K2c,180,180.0,0.0,32.5,32.5,81.1,81.1,0.237,0.237,Rebaixamento,1992-11-26,,,,,11.5,Bomba submersa,,,0.0,,,,,,,1992-11-26,2008-08-27,1992-11-26,1992-11-26,,,Rotativo,HIDROSSOMAT,Formação Serra Geral,,,,0.75,False,False
3500022924,True,True,-20.506110999999976,-54.56472199999996,Campo Grande,Campo Grande,OK,526.48,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,84,84.0,0.0,1.8,1.8,36.9,36.9,2.051,2.051,Rebaixamento,1995-02-13,,,,,72.0,,,,0.0,,,,,,,1995-02-13,2008-08-27,1995-02-13,1995-02-13,,,Rotativo,HIDROSSOMAT,Formação Serra Geral,,,,0.75,False,False
3500022958,True,True,-20.78527699999995,-52.05222199999997,Três Lagoas,Três Lagoas,OK,221.91,,Poço tubular,Bombeando,,Bauru,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,Formação Santo Anastácio,K2sa,120,120.0,0.0,23.25,23.25,46.22,46.22,1.149,1.149,Rebaixamento,2003-05-01,,,,,26.4,Bomba submersa,,,0.0,,,,,,,2003-05-01,2008-09-01,2003-05-01,2003-05-01,,,Rotativo,METALÚRGICA E POÇOS ARTESIANOS ALVORADA,Formação Santo Anastácio,,,,0.75,False,False
3500022972,True,True,-21.72416599999997,-52.264999999999986,Bataguassu,Bataguassu,OK,42.1,,Poço tubular,Bombeando,,Caiua,Depósitos aluvionares,,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,Depósitos aluvionares,Q2a,94,94.0,0.0,6,6.0,8,8.0,4.95,4.95,Rebaixamento,2005-08-17,,,,,9.9,Bomba submersa,,,0.0,,,,,,,1997-02-18,2008-09-02,1997-02-18,1997-02-18,,,Rotativo,NOPAR,Formação Caiuá,,,,0.75,False,False
