parameter_id,well_id,source_dataset,parameter,value,unit,test_date,method,quality_status
CUR_QS_3500065072,3500065072,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.228,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500023027,3500023027,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.454,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500065009,3500065009,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.507,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500068739,3500068739,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.423,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071611,3500071611,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.505,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071605,3500071605,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,4.408,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071514,3500071514,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.333,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500070919,3500070919,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.624,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500070840,3500070840,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.267,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500069727,3500069727,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.401,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500026934,3500026934,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.5,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500026935,3500026935,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.469,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500026939,3500026939,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.4,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500026957,3500026957,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.765,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500026979,3500026979,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.714,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500026997,3500026997,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.68,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027019,3500027019,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.769,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027044,3500027044,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.271,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027149,3500027149,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.222,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027154,3500027154,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.551,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027162,3500027162,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.058,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027173,3500027173,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,6.092,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027176,3500027176,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.887,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027286,3500027286,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,3.5,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500027294,3500027294,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,3.845,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045287,3500045287,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.417,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045398,3500045398,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.143,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045626,3500045626,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.2,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500023356,3500023356,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.43,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500023368,3500023368,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.114,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045694,3500045694,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,5.832,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500023355,3500023355,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.042,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500023312,3500023312,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.081,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500022928,3500022928,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.168,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045646,3500045646,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.395,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500022824,3500022824,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.956,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500022816,3500022816,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.333,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500022567,3500022567,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,13.134,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500022930,3500022930,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,5.431,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071764,3500071764,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.841,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071752,3500071752,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,4.466,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071581,3500071581,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.277,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071535,3500071535,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.8,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071489,3500071489,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.25,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071469,3500071469,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,-0.039,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,OBJECTIVE_INVALID_REVIEW
CUR_QS_3500071450,3500071450,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.091,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071440,3500071440,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.463,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071332,3500071332,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.169,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071321,3500071321,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.414,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071286,3500071286,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.102,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071055,3500071055,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.268,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500071039,3500071039,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.199,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500070991,3500070991,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.567,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500070764,3500070764,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.474,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500070725,3500070725,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.159,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500070687,3500070687,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.539,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500070672,3500070672,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500070593,3500070593,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.472,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500070472,3500070472,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.576,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500069979,3500069979,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.2,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045612,3500045612,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.919,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045635,3500045635,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,22.045,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500026937,3500026937,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.48,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045640,3500045640,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.538,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045639,3500045639,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.667,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045662,3500045662,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,3.713,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073735,3500073735,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,5.661,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045671,3500045671,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.444,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072514,3500072514,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,5.43,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072669,3500072669,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.518,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072874,3500072874,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,4.009,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072417,3500072417,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.347,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072847,3500072847,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,29.42,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073700,3500073700,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.316,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072775,3500072775,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,38.462,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072064,3500072064,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.275,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072751,3500072751,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.451,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072461,3500072461,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.293,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073697,3500073697,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.392,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073844,3500073844,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,5.085,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073563,3500073563,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,6.472,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073561,3500073561,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.809,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073599,3500073599,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.006,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500045700,3500045700,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.4,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073618,3500073618,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.561,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073632,3500073632,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.192,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073631,3500073631,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.417,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073647,3500073647,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.454,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073650,3500073650,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.301,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073659,3500073659,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.758,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073664,3500073664,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.205,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073661,3500073661,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.475,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073667,3500073667,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.286,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073671,3500073671,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.659,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073679,3500073679,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.771,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073693,3500073693,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.195,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073701,3500073701,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.683,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073707,3500073707,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.146,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073710,3500073710,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.103,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073731,3500073731,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.298,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073737,3500073737,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.021,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073743,3500073743,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.659,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073784,3500073784,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.911,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073782,3500073782,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.462,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073788,3500073788,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.289,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073774,3500073774,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,3.881,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073777,3500073777,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.543,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073798,3500073798,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.455,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073817,3500073817,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,6.231,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073840,3500073840,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,9.339,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073858,3500073858,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.426,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073871,3500073871,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,6.333,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073879,3500073879,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.416,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073891,3500073891,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073909,3500073909,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.453,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073908,3500073908,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,9.202,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073914,3500073914,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.677,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073925,3500073925,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.812,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073930,3500073930,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.216,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073937,3500073937,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.762,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073940,3500073940,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.831,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500073946,3500073946,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.393,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072951,3500072951,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.097,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072906,3500072906,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.59,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072891,3500072891,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,2.088,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072880,3500072880,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.291,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072833,3500072833,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,0.517,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072821,3500072821,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,3.333,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072815,3500072815,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,1.407,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072773,3500072773,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,31.429,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
CUR_QS_3500072753,3500072753,SIAGAS_MS_20260814,SPECIFIC_CAPACITY,3.963,SOURCE_UNIT_NOT_VERIFIED,UNKNOWN,UNKNOWN,RAW_VALUE
