well_id,latitude,longitude,inside_ms_ibge2025,declared_municipality,spatial_municipality,municipality_match,exact_coordinate_group,nearest_other_well_id,nearest_neighbor_m,coordinate_quality_status,coordinate_quality_reasons
3500022678,-22.240554999999972,-53.333887999999945,True,Nova Andradina,Nova Andradina,True,,3500022556,417.95,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022719,-23.05583299999995,-54.18805499999996,True,Naviraí,Naviraí,True,,3500022721,549.01,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022722,-23.067776999999978,-54.18861099999998,True,Naviraí,Naviraí,True,EXACT_COORD_0012,3500023030,0.0,REVIEW,coordenada idêntica compartilhada por IDs distintos
3500022759,-20.48527699999994,-55.809443999999985,True,Anastácio,Anastácio,True,,3500022754,378.98,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022768,-20.48111099999994,-55.788054999999986,True,Aquidauana,Aquidauana,True,,3500023190,57.64,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022770,-20.46194399999996,-55.791110999999944,True,Aquidauana,Aquidauana,True,,3500023187,65.32,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022774,-21.12722199999996,-56.50083299999994,True,Bonito,Bonito,True,,3500072484,68.07,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022781,-22.018610999999964,-57.02194399999996,True,Caracol,Caracol,True,,3500022784,490.42,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022800,-21.157776999999953,-55.824165999999934,True,Nioaque,Nioaque,True,,3500022650,164.0,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022817,-20.29611099999994,-56.06472199999996,True,Aquidauana,Aquidauana,True,,3500027205,1379.64,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022820,-20.441943999999978,-54.85944399999994,True,Terenos,Terenos,True,,3500070086,110.08,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022825,-22.23055499999998,-54.81416599999994,True,Dourados,Dourados,True,,3500045263,42.09,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022829,-22.228887999999927,-54.799999999999955,True,Dourados,Dourados,True,,3500027062,65.36,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022900,-20.446665999999937,-54.581665999999984,True,Campo Grande,Campo Grande,True,,3500022528,214.89,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022903,-20.495554999999968,-54.64499999999998,True,Campo Grande,Campo Grande,True,,3500045168,375.04,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022906,-20.53444399999995,-54.67249999999996,True,Campo Grande,Campo Grande,True,,3500045694,211.05,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022931,-22.17166599999996,-52.694721999999956,True,Anaurilândia,Anaurilândia,True,,3500027028,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022955,-20.51222199999995,-54.60916599999996,True,Campo Grande,Campo Grande,True,,3500070687,144.36,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022957,-20.78444399999995,-52.05416599999995,True,Três Lagoas,Três Lagoas,True,,3500022958,221.91,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022959,-21.25583299999994,-52.031387999999936,True,Brasilândia,Brasilândia,True,,3500072885,153.61,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022961,-21.719443999999953,-52.41944399999994,True,Bataguassu,Bataguassu,True,,3500027114,65.27,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022963,-21.710554999999943,-52.40999999999997,True,Bataguassu,Bataguassu,True,,3500027158,84.25,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023037,-22.236943999999937,-53.34666599999997,True,Nova Andradina,Nova Andradina,True,,3500022555,144.26,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023071,-21.601665999999966,-55.167776999999944,True,Maracaju,Maracaju,True,,3500027297,168.5,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023108,-22.655554999999936,-53.85999999999996,True,Novo Horizonte do Sul,Novo Horizonte do Sul,True,EXACT_COORD_0013,3500023374,0.0,REVIEW,coordenada idêntica compartilhada por IDs distintos
3500023110,-18.683054999999968,-53.635276999999974,True,Figueirão,Figueirão,True,,3500034022,119.48,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026926,-22.28333299999997,-53.37833299999994,True,Nova Andradina,Nova Andradina,True,,3500072861,209.06,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026982,-22.309443999999928,-53.831943999999964,True,Ivinhema,Ivinhema,True,,3500023032,67.9,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027008,-20.00194399999998,-56.33361099999996,True,Miranda,Miranda,True,,3500027009,949.93,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027017,-19.994721999999967,-56.46388899999994,True,Miranda,Miranda,True,,3500045529,10337.49,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027031,-23.891666999999927,-54.404721999999936,True,Japorã,Japorã,True,,3500022711,135.56,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027032,-23.78527799999995,-54.286388999999986,True,Eldorado,Eldorado,True,,3500022701,106.06,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027054,-18.51138899999995,-54.74388899999997,True,Coxim,Coxim,True,,3500022592,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027108,-18.928332999999952,-54.853332999999964,True,Rio Verde de Mato Grosso,Rio Verde de Mato Grosso,True,,3500065070,30.62,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027126,-22.08583299999998,-54.79388899999998,True,Itaporã,Itaporã,True,,3500022855,150.22,OK,nenhuma anomalia objetiva identificada nesta etapa
