evidence_code,scale_a_km2,scale_b_km2,grid_family,support_points_n,spearman_density_per100km2,presence_jaccard,presence_mismatch_pct,presence_a_pct,presence_b_pct
E03,150,250,SCALE_PRIMARY_O00_V1,14284,0.6298142650885675,0.5236131161064137,16.171940632875945,22.3956874824979,29.326519182301876
E03,150,500,SCALE_PRIMARY_O00_V1,14284,0.5932036358465913,0.45367258761401824,23.900868104172503,22.3956874824979,41.19994399327919
E03,150,1000,SCALE_PRIMARY_O00_V1,14284,0.5399547883073095,0.367344525892646,37.46149537944553,22.3956874824979,58.56902828339401
E03,250,500,SCALE_PRIMARY_O00_V1,14284,0.6398139816565924,0.5410738871041763,21.00252030243629,29.326519182301876,41.19994399327919
E03,250,1000,SCALE_PRIMARY_O00_V1,14284,0.6046944762784118,0.47290004692632565,31.45477457294875,29.326519182301876,58.56902828339401
E03,500,1000,SCALE_PRIMARY_O00_V1,14284,0.6557367310132408,0.6057464788732394,24.49593951274153,41.19994399327919,58.56902828339401
E04,100,150,SCALE_PRIMARY_O00_V1,14284,0.6275130624791269,0.5051599587203303,13.427611313357604,17.782133856062725,23.06076729207505
E04,100,250,SCALE_PRIMARY_O00_V1,14284,0.5913038648845886,0.449978982765868,18.32119854382526,17.782133856062725,30.516661999439933
E04,100,500,SCALE_PRIMARY_O00_V1,14284,0.5460139727753031,0.3750598754590452,27.401288154578552,17.782133856062725,42.509101092131054
E04,100,1000,SCALE_PRIMARY_O00_V1,14284,0.4760127521988877,0.2917940277451211,42.17306076729208,17.782133856062725,59.1430971716606
E04,150,250,SCALE_PRIMARY_O00_V1,14284,0.6274071140139996,0.5232882165605095,16.76701204144497,23.06076729207505,30.516661999439933
E04,150,500,SCALE_PRIMARY_O00_V1,14284,0.593631372035307,0.45683621091927207,24.446933632035844,23.06076729207505,42.509101092131054
E04,150,1000,SCALE_PRIMARY_O00_V1,14284,0.5385038925011988,0.37237026647966337,37.59451134136096,23.06076729207505,59.1430971716606
E04,250,500,SCALE_PRIMARY_O00_V1,14284,0.6415125132351263,0.5506169169020366,21.16353962475497,30.516661999439933,42.509101092131054
E04,250,1000,SCALE_PRIMARY_O00_V1,14284,0.6047930797768428,0.48469742638534663,31.118734248109774,30.516661999439933,59.1430971716606
E04,500,1000,SCALE_PRIMARY_O00_V1,14284,0.6625382463148486,0.6216216216216216,23.718846261551384,42.509101092131054,59.1430971716606
E05,100,150,SCALE_PRIMARY_O00_V1,14284,0.6276735331002292,0.5045489992201716,13.343601232147858,17.621114533744052,22.89974796975637
E05,100,250,SCALE_PRIMARY_O00_V1,14284,0.5903102040257527,0.44818104906937395,18.26519182301876,17.621114533744052,30.313637636516383
E05,100,500,SCALE_PRIMARY_O00_V1,14284,0.5451866804832853,0.37313672062830583,27.380285634276113,17.621114533744052,42.35508260991319
E05,100,1000,SCALE_PRIMARY_O00_V1,14284,0.475144941632079,0.29049025398700534,42.04704564547746,17.621114533744052,58.8560627275273
E05,150,250,SCALE_PRIMARY_O00_V1,14284,0.628232217250909,0.5238572574178028,16.626995239428734,22.89974796975637,30.313637636516383
E05,150,500,SCALE_PRIMARY_O00_V1,14284,0.5938505245265915,0.4557238794315165,24.39792775133016,22.89974796975637,42.35508260991319
E05,150,1000,SCALE_PRIMARY_O00_V1,14284,0.5380292749899126,0.37178432984846704,37.4404928591431,22.89974796975637,58.8560627275273
E05,250,500,SCALE_PRIMARY_O00_V1,14284,0.6410728414805105,0.5492537313432836,21.142537104452536,30.313637636516383,42.35508260991319
E05,250,1000,SCALE_PRIMARY_O00_V1,14284,0.6046826456834118,0.4843258361496329,30.97871744609353,30.313637636516383,58.8560627275273
E05,500,1000,SCALE_PRIMARY_O00_V1,14284,0.6630171075492329,0.6203765971755212,23.711845421450576,42.35508260991319,58.8560627275273
E06,100,150,SCALE_PRIMARY_O00_V1,14284,0.6263466962149682,0.5027726432532348,13.18258190982918,17.327079249509943,22.514701764211704
E06,100,250,SCALE_PRIMARY_O00_V1,14284,0.5888908742285326,0.44657062997204905,18.020162419490337,17.327079249509943,29.774572948753853
E06,100,500,SCALE_PRIMARY_O00_V1,14284,0.5453963320226167,0.3738562091503268,26.827219266311957,17.327079249509943,41.535984318118174
E06,100,1000,SCALE_PRIMARY_O00_V1,14284,0.47465371638303033,0.28978906999041226,41.48697843741249,17.327079249509943,58.01596191542985
E06,150,250,SCALE_PRIMARY_O00_V1,14284,0.6280538057524462,0.5227319062181448,16.38896667600112,22.514701764211704,29.774572948753853
E06,150,500,SCALE_PRIMARY_O00_V1,14284,0.5940889004125148,0.45661518866422546,23.893867264071687,22.514701764211704,41.535984318118174
E06,150,1000,SCALE_PRIMARY_O00_V1,14284,0.5374437251243945,0.3705468843083522,36.98543825259031,22.514701764211704,58.01596191542985
E06,250,500,SCALE_PRIMARY_O00_V1,14284,0.6428012740289982,0.5501445746461726,20.69448333800056,29.774572948753853,41.535984318118174
E06,250,1000,SCALE_PRIMARY_O00_V1,14284,0.6063158070517983,0.48226950354609927,30.663679641556985,29.774572948753853,58.01596191542985
E06,500,1000,SCALE_PRIMARY_O00_V1,14284,0.6674205781632422,0.6201435570240401,23.340800896107535,41.535984318118174,58.01596191542985
E07,100,150,SCALE_PRIMARY_O00_V1,14284,0.5695706336897184,0.42147012162876785,7.658919070288435,7.987958555026603,10.830299635956314
E07,100,250,SCALE_PRIMARY_O00_V1,14284,0.5118898933330273,0.3493312352478363,11.57938952674321,7.987958555026603,16.024922990758892
E07,100,500,SCALE_PRIMARY_O00_V1,14284,0.46160214666356764,0.27430744160782183,18.706244749369922,7.987958555026603,24.85998319798376
E07,100,1000,SCALE_PRIMARY_O00_V1,14284,0.37843795981570993,0.19347277316985215,31.31475777093251,7.987958555026603,38.35060207224867
E07,150,250,SCALE_PRIMARY_O00_V1,14284,0.5445165529037563,0.40925789860396766,11.257350882105852,10.830299635956314,16.024922990758892
E07,150,500,SCALE_PRIMARY_O00_V1,14284,0.49075428891978856,0.3352540597171294,17.768132175861105,10.830299635956314,24.85998319798376
E07,150,1000,SCALE_PRIMARY_O00_V1,14284,0.4315865807270403,0.2549124687388353,29.20050406048726,10.830299635956314,38.35060207224867
E07,250,500,SCALE_PRIMARY_O00_V1,14284,0.5403538666130414,0.4250854075158614,16.4939792775133,16.024922990758892,24.85998319798376
E07,250,1000,SCALE_PRIMARY_O00_V1,14284,0.5076155625951849,0.36382791922739244,25.364043685242226,16.024922990758892,38.35060207224867
E07,500,1000,SCALE_PRIMARY_O00_V1,14284,0.5628992207241014,0.47967879383808587,22.22766732007841,24.85998319798376,38.35060207224867
E08,100,150,SCALE_PRIMARY_O00_V1,14284,0.5709751000641489,0.4228723404255319,7.595911509381126,7.966956034724166,10.760291234948195
E08,100,250,SCALE_PRIMARY_O00_V1,14284,0.51126605561678,0.3488372093023256,11.565387846541585,7.966956034724166,15.989918790254832
E08,100,500,SCALE_PRIMARY_O00_V1,14284,0.4626972341401433,0.2754098360655738,18.566227947353685,7.966956034724166,24.712965555866703
E08,100,1000,SCALE_PRIMARY_O00_V1,14284,0.37790262044744927,0.19293184276956366,31.335760291234948,7.966956034724166,38.35060207224867
E08,150,250,SCALE_PRIMARY_O00_V1,14284,0.5458853809154139,0.4099630996309963,11.194343321198543,10.760291234948195,15.989918790254832
E08,150,500,SCALE_PRIMARY_O00_V1,14284,0.4912937845800207,0.33517786561264823,17.663119574348922,10.760291234948195,24.712965555866703
E08,150,1000,SCALE_PRIMARY_O00_V1,14284,0.43003337172692707,0.2531261164701679,29.27051246149538,10.760291234948195,38.35060207224867
E08,250,500,SCALE_PRIMARY_O00_V1,14284,0.5403634829327668,0.4253493503309635,16.409969196303557,15.989918790254832,24.712965555866703
E08,250,1000,SCALE_PRIMARY_O00_V1,14284,0.507462392933324,0.3629499561018437,25.39904788574629,15.989918790254832,38.35060207224867
E08,500,1000,SCALE_PRIMARY_O00_V1,14284,0.5593684893667727,0.4762372992461488,22.374684962195463,24.712965555866703,38.35060207224867
E09,100,150,SCALE_PRIMARY_O00_V1,14284,0.47999959774277356,0.3147410358565737,1.2041444973396809,0.9731167740128814,1.3371604592551105
E09,100,250,SCALE_PRIMARY_O00_V1,14284,0.4557774059511439,0.27627627627627627,1.6872024642957155,0.9731167740128814,2.00224026883226
E09,100,500,SCALE_PRIMARY_O00_V1,14284,0.3908850292807726,0.1903114186851211,3.276393167180062,0.9731167740128814,3.843461215345841
