support_id,gap_E01_km,gap_E02_km,gap_E03_km,gap_E04_km,gap_E05_km,gap_E06_km,gap_E07_km,gap_E08_km,gap_E09_km,gap_E10_km,gap_E11_km,gap_E12_km,x_5880,y_5880
SP5-0079-0110,4.867299111373919,16.190007220452728,16.190007220452728,16.190007220452728,16.190007220452728,16.190007220452728,18.948416049544715,18.948416049544715,51.37072482376636,18.893166909236093,18.948416049544715,4.867299111373919,4957500.0,7887500.0
SP5-0079-0111,8.826835842330823,20.565890644418964,20.565890644418964,20.565890644418964,20.565890644418964,20.565890644418964,23.55698949783282,23.55698949783282,49.75667611998712,20.820855493159772,23.55698949783282,8.826835842330823,4957500.0,7892500.0
SP5-0079-0112,7.538038050174651,15.910154153240336,15.910154153240336,15.910154153240336,15.910154153240336,15.910154153240336,28.29878155708065,28.29878155708065,48.60557856974307,15.910154153240336,19.874220291724697,7.538038050174651,4957500.0,7897500.0
SP5-0079-0113,4.137346486170865,11.079620340638936,11.079620340638936,11.079620340638936,11.079620340638936,11.079620340638936,33.11661699252703,33.11661699252703,47.9507843282009,11.079620340638936,15.246162952749474,4.137346486170865,4957500.0,7902500.0
SP5-0079-0114,2.4341146484115908,6.510220319277171,6.510220319277171,6.510220319277171,6.510220319277171,6.510220319277171,30.946862231763077,30.946862231763077,47.812688350267535,6.510220319277171,10.950175220496671,2.4341146484115908,4957500.0,7907500.0
SP5-0079-0115,3.4652489547446184,3.4652489547446184,3.4652489547446184,3.4652489547446184,3.4652489547446184,3.4652489547446184,26.011404546601586,26.011404546601586,48.19573235121528,3.4652489547446184,7.574113145271072,6.688212937444003,4957500.0,7912500.0
SP5-0079-0116,5.624316138979743,5.624316138979743,5.624316138979743,5.624316138979743,5.624316138979743,5.624316138979743,21.10635096321027,21.10635096321027,49.087718081615385,5.624316138979743,6.695374710586168,6.695374710586168,4957500.0,7917500.0
SP5-0079-0117,9.071322676045957,9.071322676045957,9.071322676045957,9.071322676045957,9.071322676045957,9.071322676045957,16.259241540657694,16.259241540657694,50.4616638256243,9.071322676045957,9.071322676045957,9.071322676045957,4957500.0,7922500.0
SP5-0079-0118,11.543301952764224,11.543301952764224,11.543301952764224,11.543301952764224,11.543301952764224,11.543301952764224,11.543301952764224,11.543301952764224,52.27958459705367,11.543301952764224,11.543301952764224,11.543301952764224,4957500.0,7927500.0
SP5-0079-0119,7.220298087193625,7.220298087193625,7.220298087193625,7.220298087193625,7.220298087193625,7.220298087193625,7.220298087193625,7.220298087193625,54.49706795076835,7.220298087193625,7.220298087193625,7.220298087193625,4957500.0,7932500.0
SP5-0079-0120,4.58449440649386,4.58449440649386,4.58449440649386,4.58449440649386,4.58449440649386,4.58449440649386,4.58449440649386,4.58449440649386,57.067555272859146,4.58449440649386,4.58449440649386,4.58449440649386,4957500.0,7937500.0
SP5-0079-0121,6.316840464853853,6.316840464853853,6.316840464853853,6.316840464853853,6.316840464853853,6.316840464853853,6.316840464853853,6.316840464853853,59.945653006794444,6.316840464853853,6.316840464853853,6.316840464853853,4957500.0,7942500.0
SP5-0079-0122,10.43011783028632,10.43011783028632,10.43011783028632,10.43011783028632,10.43011783028632,10.43011783028632,10.43011783028632,10.43011783028632,63.08927614104615,10.43011783028632,10.43011783028632,10.43011783028632,4957500.0,7947500.0
SP5-0079-0123,15.088811830256821,15.088811830256821,15.088811830256821,15.088811830256821,15.088811830256821,15.088811830256821,15.088811830256821,15.088811830256821,66.46075694416477,15.088811830256821,15.088811830256821,15.088811830256821,4957500.0,7952500.0
SP5-0079-0124,18.66932005091996,18.66932005091996,18.66932005091996,19.913742163243445,19.913742163243445,19.913742163243445,19.913742163243445,19.913742163243445,70.02719231256896,19.913742163243445,19.913742163243445,18.66932005091996,4957500.0,7957500.0
SP5-0079-0125,18.3521701591034,18.3521701591034,18.3521701591034,23.250655370651227,23.250655370651227,23.250655370651227,24.808103745336545,24.808103745336545,73.76030851868562,23.250655370651227,23.250655370651227,18.3521701591034,4957500.0,7962500.0
SP5-0079-0126,19.366486205135118,19.366486205135118,19.366486205135118,24.247219460434586,24.247219460434586,24.247219460434586,25.134372238830398,25.134372238830398,77.6360648304759,24.247219460434586,24.247219460434586,19.366486205135118,4957500.0,7967500.0
SP5-0079-0127,18.210255826549943,21.252282880060605,21.252282880060605,22.440731035742253,22.440731035742253,22.440731035742253,22.440731035742253,22.440731035742253,81.63414734014209,26.177515694965454,22.440731035742253,18.210255826549943,4957500.0,7972500.0
SP5-0079-0128,16.24145701385483,20.626103631005126,20.626103631005126,20.626103631005126,20.626103631005126,20.626103631005126,20.626103631005126,20.626103631005126,85.73744492077076,27.066668431916025,20.626103631005126,16.24145701385483,4957500.0,7977500.0
SP5-0079-0129,15.682998265554719,19.932031822556382,19.932031822556382,19.932031822556382,19.932031822556382,19.932031822556382,19.932031822556382,19.932031822556382,89.93155681479317,23.609405298884038,19.932031822556382,15.682998265554719,4957500.0,7982500.0
SP5-0079-0130,16.6771683226467,18.000012917433,18.000012917433,18.000012917433,18.000012917433,18.000012917433,18.021510593362766,18.021510593362766,94.20435425564223,20.78950449459217,18.000012917433,16.6771683226467,4957500.0,7987500.0
SP5-0079-0131,16.043145397981142,16.043145397981142,16.043145397981142,16.043145397981142,16.043145397981142,16.043145397981142,16.087949134557263,16.087949134557263,98.54560269394425,18.89452237275032,16.043145397981142,18.89452237275032,4957500.0,7992500.0
SP5-0079-0132,15.103547909651944,15.103547909651944,15.103547909651944,15.103547909651944,15.103547909651944,15.103547909651944,15.16133874913513,15.16133874913513,102.6647162496505,18.215445486126786,15.103547909651944,18.215445486126786,4957500.0,7997500.0
SP5-0079-0133,15.775037390052029,15.775037390052029,15.775037390052029,15.775037390052029,15.775037390052029,15.775037390052029,15.840147662694024,15.840147662694024,105.82778834143056,18.88390671502459,15.775037390052029,18.88390671502459,4957500.0,8002500.0
SP5-0079-0134,17.87698100507822,17.87698100507822,17.87698100507822,17.87698100507822,17.87698100507822,17.87698100507822,17.943086782543173,17.943086782543173,109.12835382180018,20.770204895124294,17.87698100507822,20.770204895124294,4957500.0,8007500.0
SP5-0079-0135,20.983829370596677,20.983829370596677,20.983829370596677,20.983829370596677,20.983829370596677,20.983829370596677,21.047528325097936,21.047528325097936,112.55431768916459,23.583911676164735,20.983829370596677,23.583911676164735,4957500.0,8012500.0
SP5-0079-0136,24.719541667529025,24.719541667529025,24.719541667529025,24.719541667529025,24.719541667529025,24.719541667529025,24.779881636233146,24.779881636233146,116.09457891344783,27.037018484160445,24.719541667529025,27.037018484160445,4957500.0,8017500.0
SP5-0079-0137,28.84077643634255,28.84077643634255,28.84077643634255,28.84077643634255,28.84077643634255,28.84077643634255,28.897865305514337,28.897865305514337,119.7389998108726,30.916012793963713,28.84077643634255,30.916012793963713,4957500.0,8022500.0
SP5-0079-0138,33.20429235278897,33.20429235278897,33.20429235278897,33.20429235278897,33.20429235278897,33.20429235278897,33.258543331384395,33.258543331384395,123.47835801599214,35.07989916804526,33.20429235278897,35.07989916804526,4957500.0,8027500.0
SP5-0079-0139,36.55669198280426,36.55669198280426,36.55669198280426,36.55669198280426,36.55669198280426,37.72611397756027,37.777966989179006,37.777966989179006,127.3042879126344,36.55669198280426,36.55669198280426,39.43854465119012,4957500.0,8032500.0
SP5-0079-0140,36.8382239935442,36.8382239935442,36.8382239935442,36.8382239935442,36.8382239935442,39.90257631429385,40.26490021457716,40.26490021457716,131.20921668678722,36.8382239935442,36.8382239935442,43.93402192797298,4957500.0,8037500.0
SP5-0079-0141,37.785152709383695,37.785152709383695,37.785152709383695,37.785152709383695,37.785152709383695,38.36191991029647,38.419846515017326,38.419846515017326,135.1862987368826,37.785152709383695,37.785152709383695,48.528319168618495,4957500.0,8042500.0
SP5-0079-0142,37.10987633688972,37.10987633688972,37.10987633688972,37.10987633688972,37.10987633688972,37.10987633688972,37.16055735837559,37.16055735837559,139.22935103201138,37.192834887461956,37.10987633688972,53.19583855805828,4957500.0,8047500.0
SP5-0079-0143,36.470766080167806,36.470766080167806,36.470766080167806,36.470766080167806,36.470766080167806,36.470766080167806,36.54763248327797,36.54763248327797,143.33279112405657,36.673928542331176,36.470766080167806,57.91888050073735,4957500.0,8052500.0
