support_id,x_5880,y_5880,hydro_surface_unit,hydro_surface_domain,question_code,priority_code_100km2,priority_code_150km2,priority_code_250km2,priority_code_500km2,priority_code_1000km2,priority_exact_all_scales,priority_changes_across_scales_n,priority_min_code_across_scales,priority_max_code_across_scales,integrated_priority_calculated,method_version
SP5-0005-0086,4587500.0,7767500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0087,4587500.0,7772500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0088,4587500.0,7777500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0092,4587500.0,7797500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0093,4587500.0,7802500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0094,4587500.0,7807500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0095,4587500.0,7812500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0096,4587500.0,7817500.0,Formação Pantanal,Granular (Gr),Q01,0,2,0,0,0,False,2,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0097,4587500.0,7822500.0,Formação Pantanal,Granular (Gr),Q01,0,2,0,0,2,False,3,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0098,4587500.0,7827500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,2,False,1,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
