cell_id,area_effective_pct_nominal,scale_km2,variant,area_effective_km2,grid_family,n_E01,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,state_E01,pct_E02_of_E01,state_E02,pct_E03_of_E01,state_E03,pct_E04_of_E01,state_E04,pct_E05_of_E01,state_E05,pct_E06_of_E01,state_E06,pct_E07_of_E01,state_E07,pct_E08_of_E01,state_E08,pct_E09_of_E01,state_E09,pct_E10_of_E01,state_E10,pct_E11_of_E01,state_E11,pct_E12_of_E01,state_E12,E02_depth_median_m,E02_depth_p10_m,E02_depth_p90_m,E03_aquifer_n_unique,E04_zero_review_count,E05_zero_review_count,E07_test_types,E09_zero_review_count,E10_available_fields_median,E10_n_pH,E10_n_EC,E10_n_temperature,E10_n_chemical_parameter,E11_age_median_years,E11_age_p25_years,E11_age_p75_years,E12_comparison_statuses,analysis_status,cutoff_date
SCALE-1000-O00-00122,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,1,1,1,1,0,0,1,1,0,0,1,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,EVIDENCE_PRESENT,100.0,REVIEW_REQUIRED_PRESENT,85.0,85.0,85.0,1,0,0,Rebaixamento:1,0,,0,0,0,0,47.291,47.291,47.291,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:1,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00123,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,58,57,47,53,53,53,42,42,1,15,42,15,WELLS_PRESENT,98.2759,EVIDENCE_PRESENT,81.0345,EVIDENCE_PRESENT,91.3793,EVIDENCE_PRESENT,91.3793,EVIDENCE_PRESENT,91.3793,EVIDENCE_PRESENT,72.4138,EVIDENCE_PRESENT,72.4138,EVIDENCE_PRESENT,1.7241,EVIDENCE_PRESENT,25.8621,EVIDENCE_PRESENT,72.4138,EVIDENCE_PRESENT,25.8621,REVIEW_REQUIRED_PRESENT,60.0,17.0,137.99999999999997,2,0,0,Continuo:1 | Rebaixamento:41,0,2.0,15,6,7,15,33.4375,23.868000000000002,38.927,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:3 | UNKNOWN:12,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00124,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,3,3,0,2,2,2,0,0,0,2,0,3,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,66.6667,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,66.6667,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,REVIEW_REQUIRED_PRESENT,200.0,152.0,264.0,0,0,0,,0,4.0,2,2,2,2,,,,UNKNOWN:3,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00125,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,18,17,16,16,16,16,9,9,0,8,12,3,WELLS_PRESENT,94.4444,EVIDENCE_PRESENT,88.8889,EVIDENCE_PRESENT,88.8889,EVIDENCE_PRESENT,88.8889,EVIDENCE_PRESENT,88.8889,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,44.4444,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,16.6667,REVIEW_REQUIRED_PRESENT,64.0,37.2,115.00000000000001,3,0,0,Rebaixamento:9,0,3.5,8,5,6,8,24.208,16.90925,33.00525,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:1 | UNKNOWN:2,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00126,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,3,2,1,1,1,1,0,0,0,1,0,2,WELLS_PRESENT,66.6667,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,33.3333,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,66.6667,REVIEW_REQUIRED_PRESENT,71.0,70.2,71.8,1,0,0,,0,4.0,1,1,1,1,,,,UNKNOWN:2,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00127,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,33,14,12,14,14,14,0,0,0,6,1,28,WELLS_PRESENT,42.4242,EVIDENCE_PRESENT,36.3636,EVIDENCE_PRESENT,42.4242,EVIDENCE_PRESENT,42.4242,EVIDENCE_PRESENT,42.4242,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,18.1818,EVIDENCE_PRESENT,3.0303,EVIDENCE_PRESENT,84.8485,REVIEW_REQUIRED_PRESENT,97.5,71.5,100.0,2,1,0,,0,3.0,6,5,4,6,30.932,30.932,30.932,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:7 | UNKNOWN:21,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00128,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,27,14,14,14,14,14,2,2,0,9,3,16,WELLS_PRESENT,51.8519,EVIDENCE_PRESENT,51.8519,EVIDENCE_PRESENT,51.8519,EVIDENCE_PRESENT,51.8519,EVIDENCE_PRESENT,51.8519,EVIDENCE_PRESENT,7.4074,EVIDENCE_PRESENT,7.4074,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,33.3333,EVIDENCE_PRESENT,11.1111,EVIDENCE_PRESENT,59.2593,REVIEW_REQUIRED_PRESENT,94.0,60.0,141.00000000000003,4,0,0,Rebaixamento:2,0,4.0,9,8,8,9,24.569,15.7655,25.508499999999998,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:3 | UNKNOWN:13,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00129,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,28,2,2,2,2,1,0,0,0,2,0,26,WELLS_PRESENT,7.1429,EVIDENCE_PRESENT,7.1429,EVIDENCE_PRESENT,7.1429,EVIDENCE_PRESENT,7.1429,EVIDENCE_PRESENT,3.5714,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,7.1429,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,92.8571,REVIEW_REQUIRED_PRESENT,366.0,178.8,553.2,2,0,0,,0,3.5,2,1,2,2,,,,UNKNOWN:26,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00130,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,4,1,1,1,1,1,0,0,0,0,0,4,WELLS_PRESENT,25.0,EVIDENCE_PRESENT,25.0,EVIDENCE_PRESENT,25.0,EVIDENCE_PRESENT,25.0,EVIDENCE_PRESENT,25.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,REVIEW_REQUIRED_PRESENT,128.0,128.0,128.0,1,0,0,,0,,0,0,0,0,,,,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:1 | UNKNOWN:3,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00131,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,2,2,1,2,2,2,0,0,0,0,1,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,50.0,REVIEW_REQUIRED_PRESENT,213.5,143.5,283.5,1,0,0,,0,,0,0,0,0,17.005,17.005,17.005,UNKNOWN:1,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00132,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,1,0,0,0,0,0,0,0,0,0,0,1,WELLS_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,REVIEW_REQUIRED_PRESENT,,,,0,0,0,,0,,0,0,0,0,,,,UNKNOWN:1,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00133,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,5,4,4,4,4,4,0,0,0,4,0,4,WELLS_PRESENT,80.0,EVIDENCE_PRESENT,80.0,EVIDENCE_PRESENT,80.0,EVIDENCE_PRESENT,80.0,EVIDENCE_PRESENT,80.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,80.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,80.0,REVIEW_REQUIRED_PRESENT,90.0,80.0,100.0,2,0,0,,0,4.0,4,4,4,4,,,,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:3 | UNKNOWN:1,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00134,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,12,12,11,12,12,12,7,7,0,5,10,5,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,91.6667,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,58.3333,EVIDENCE_PRESENT,58.3333,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,41.6667,EVIDENCE_PRESENT,83.3333,EVIDENCE_PRESENT,41.6667,REVIEW_REQUIRED_PRESENT,133.0,77.5,152.7,2,1,0,Escalonado:2 | Rebaixamento:4 | Recarga:1,0,3.0,5,3,1,5,34.602000000000004,20.7055,44.56375,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:4 | UNKNOWN:1,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00135,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,3,2,1,1,1,1,0,0,0,1,0,2,WELLS_PRESENT,66.6667,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,33.3333,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,66.6667,REVIEW_REQUIRED_PRESENT,103.5,95.9,111.1,1,0,0,,0,3.0,1,1,1,1,,,,UNKNOWN:2,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00136,100.00000000000462,1000,O00,1000.0000000000462,SCALE_PRIMARY_O00_V1,4,4,4,4,4,3,0,0,0,4,1,2,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,75.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,EVIDENCE_PRESENT,25.0,EVIDENCE_PRESENT,50.0,REVIEW_REQUIRED_PRESENT,95.0,83.0,101.4,3,0,0,,0,4.0,4,3,3,4,15.699,15.699,15.699,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:2,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00137,72.16784058311303,1000,O00,721.6784058311302,SCALE_PRIMARY_O00_V1,29,29,29,29,29,28,8,8,0,20,13,17,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,96.5517,EVIDENCE_PRESENT,27.5862,EVIDENCE_PRESENT,27.5862,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,68.9655,EVIDENCE_PRESENT,44.8276,EVIDENCE_PRESENT,58.6207,REVIEW_REQUIRED_PRESENT,95.0,60.0,121.0,4,0,0,Escalonado:1 | Rebaixamento:7,0,3.5,18,14,14,20,35.452,17.005,45.547,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:17,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
SCALE-1000-O00-00138,16.751814125898232,1000,O00,167.51814125898233,SCALE_PRIMARY_O00_V1,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,,,0,0,0,,0,,0,0,0,0,,,,,MALHA_EVIDENCE_MATRIX_V2_FIVE_SCALES_NO_PIH_SCORE,2026-08-29
