well_id,longitude,latitude,sgb2024_unit_aflorante,hydrolithologic_domain,depth_positive,depth_m,formation_documented,formation,penetration_type_documented,penetration_type,hydraulic_condition_documented,hydraulic_condition,capture_type_documented,capture_type,diameter_documented,diameter_raw,top_base_raw_coherent,top_raw_m,base_raw_m,top_base_raw_thickness_m,explicit_profile_documented,vertical_metadata_n,vertical_documentation_state,capture_interval_status,test_dated,test_date,chemistry_dated,chemistry_date,level_measurement_dated,level_measurement_date,level_measurement_raw,dated_evidence_any,dated_domains_n,dated_domains,dated_distinct_dates_n,earliest_evidence_date,latest_evidence_date,latest_evidence_age_years,evidence_date_span_years,rimas_status_current,rimas_registered,temporal_documentation_state,time_series_status
3500073241,-54.17166699999996,-19.633888999999954,Formação Serra Geral,Fraturada,True,100.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500073239,-54.58292499999993,-22.009363999999948,Formação Serra Geral,Fraturada,True,100.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500073255,-54.792974999999956,-22.227057999999943,Formação Serra Geral,Fraturada,True,100.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500073456,-54.78766699999994,-22.057110999999963,Formação Serra Geral,Fraturada,True,90.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022703,-54.28416599999997,-23.781387999999936,Grupo Caiuá,Granular,True,150.0,True,Formação Caiuá,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,1979-01-02,False,,False,,,True,1,TESTE,1,1979-01-02,1979-01-02,47.656009363641964,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022705,-54.559721999999965,-23.68138799999997,Grupo Caiuá,Granular,True,125.0,True,Formação Caiuá,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,2004-09-15,False,,False,,,True,1,TESTE,1,2004-09-15,2004-09-15,21.952538382033854,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022716,-55.36833299999995,-22.59888799999993,Formação Serra Geral,Fraturada,True,100.0,True,Formação Serra Geral,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,1996-12-23,False,,False,,,True,1,TESTE,1,1996-12-23,1996-12-23,29.68164986276241,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022732,-55.70055499999995,-22.558610999999928,Grupo Caiuá,Granular,True,140.0,True,Formação Serra Geral,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,1975-01-31,False,,False,,,True,1,TESTE,1,1975-01-31,1975-01-31,51.57669219764951,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022734,-55.71555499999994,-22.507499999999936,Grupo Caiuá,Granular,True,124.1,True,Formação Serra Geral,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,1981-07-20,False,,False,,,True,1,TESTE,1,1981-07-20,1981-07-20,45.10975584714265,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022742,-55.69111099999998,-22.573887999999954,Grupo Caiuá,Granular,True,144.0,True,Formação Serra Geral,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,1997-01-02,False,,False,,,True,1,TESTE,1,1997-01-02,1997-01-02,29.654270792692525,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023050,-56.44999999999993,-21.08888799999994,Grupo Cuiaba,Cárstica,True,75.0,True,Grupo Cuiabá,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,1990-01-15,False,,False,,,True,1,TESTE,1,1990-01-15,1990-01-15,36.61950621847129,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023057,-56.47305499999993,-21.09972199999993,Grupo Cuiaba,Fraturada,True,55.0,True,Grupo Cuiabá,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,2000-01-01,False,,False,,,True,1,TESTE,1,2000-01-01,2000-01-01,26.659000527047098,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023061,-56.49527699999999,-21.109721999999977,Grupo Cuiaba,Fraturada,True,89.0,True,Grupo Cuiabá,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,2000-03-07,False,,False,,,True,1,TESTE,1,2000-03-07,2000-03-07,26.478298664585857,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023073,-56.496943999999985,-21.13166599999994,Grupo Cuiaba,Fraturada,True,17.0,True,Grupo Cuiabá,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,2001-04-20,False,,False,,,True,1,TESTE,1,2001-04-20,2001-04-20,25.358494698727558,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023079,-56.498054999999965,-21.122499999999945,Grupo Cuiaba,Fraturada,True,55.0,True,Grupo Cuiabá,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,1970-07-15,False,,False,,,True,1,TESTE,1,1970-07-15,1970-07-15,56.124355736257414,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500045465,-52.61972199999997,-18.791943999999944,Formação Cachoeirinha,Granular,True,130.0,True,Formação Cachoeirinha,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,2010-01-25,True,2009-10-05,False,,,True,2,QUIMICA|TESTE,2,2009-10-05,2010-01-25,16.591716462350355,0.30664558478271287,Siagas,False,EVIDENCIA_DATADA_MULTIPLOS_DOMINIOS,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023036,-54.22972199999998,-22.406665999999973,Grupo Caiuá,Granular,True,150.0,True,Formação Serra Geral,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,1978-11-20,False,,False,,,True,1,TESTE,1,1978-11-20,1978-11-20,47.77373936494247,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
