well_id,municipality,hydro_unit,domain,layer_code,layer_name,latest_evidence_date,latest_evidence_age_years,dated_domains_n,time_series_status
3500067715,Costa Rica,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2016-12-17,9.697666618753294,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500045664,Batayporã,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2009-01-10,17.632121125005987,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500030643,Bandeirantes,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1987-11-20,38.774239032971245,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500067320,Paraíso das Águas,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2016-09-13,9.957767784417202,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500045368,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2010-02-24,16.5095792521407,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023260,Rio Brilhante,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1996-07-01,30.1607835889854,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023380,Jateí,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1972-12-11,53.71499757010753,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022823,Terenos,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1997-06-09,29.22168148558834,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022851,Itaporã,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2003-10-16,22.869737229375005,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022805,Sidrolândia,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1989-04-10,37.38612018042807,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500065165,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2003-03-15,23.458387235877534,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500065094,Bela Vista,Formação Aquidauana,Granular,T04,Evidência hidrogeológica datada,2019-09-05,6.9816628678206945,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023204,Dois Irmãos do Buriti,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1990-08-05,36.06644900305961,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022570,Inocência,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,1973-05-28,53.25502919293346,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022574,Três Lagoas,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1974-09-05,51.9819024346838,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022618,Dourados,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2001-04-17,25.366708419748523,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022636,Aparecida do Taboado,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2005-12-07,20.725956042903004,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
