well_id,municipality,aquifer,available_fields,available_count,pH,electrical_conductivity,temperature,chemical_parameter,chemical_concentration,source,evidence_code,latitude,longitude
3500027149,Maracaju,Serra geral,pH | TEMPERATURA | TURBIDEZ,3,6.0,,13.0,,,SIAGAS_MS_20260814,E10,-21.654166999999973,-55.100832999999966
3500027154,Camapuã,Guarani,pH | Solidos dissolvidos totais,2,7.5999999,,,Solidos dissolvidos totais,271.8,SIAGAS_MS_20260814,E10,-19.513332999999932,-54.04833299999996
3500027162,Rio Brilhante,Serra geral,pH | TEMPERATURA | TURBIDEZ | Solidos dissolvidos totais,4,8.06000042,,25.0,Solidos dissolvidos totais,149.9,SIAGAS_MS_20260814,E10,-21.807777999999928,-54.549721999999974
3500027173,Três Lagoas,Bauru,pH | TEMPERATURA | TURBIDEZ | Solidos dissolvidos totais,4,6.13000011,,6.0,Solidos dissolvidos totais,112.8,SIAGAS_MS_20260814,E10,-20.776943999999958,-51.66416699999996
3500027176,Três Lagoas,Bauru,pH | Solidos dissolvidos totais,2,6.0999999,,,Solidos dissolvidos totais,29.3,SIAGAS_MS_20260814,E10,-20.77249999999998,-51.737499999999955
3500027212,Aral Moreira,Serra geral,pH | Solidos dissolvidos totais,2,7.0999999,,,Solidos dissolvidos totais,84.9,SIAGAS_MS_20260814,E10,-22.94888899999995,-55.622221999999965
3500027286,Aparecida do Taboado,Caiua,pH | TURBIDEZ | Solidos dissolvidos totais,3,8.80000019,,,Solidos dissolvidos totais,194.0,SIAGAS_MS_20260814,E10,-20.088610999999958,-51.299721999999974
3500027294,Três Lagoas,Bauru,pH | Solidos dissolvidos totais,2,6.19999981,,,Solidos dissolvidos totais,74.2,SIAGAS_MS_20260814,E10,-20.797221999999977,-51.71138899999994
3500045398,Maracaju,Serra geral,pH | TEMPERATURA | TURBIDEZ,3,6.19999981,,19.0,,,SIAGAS_MS_20260814,E10,-21.578055999999947,-55.17944399999993
3500045626,Campo Grande,Serra geral,pH,1,6.9000001,,,,,SIAGAS_MS_20260814,E10,-20.44972199999995,-54.59249999999997
3500023356,Sete Quedas,Serra geral,pH | TURBIDEZ,2,7.5,,,,,SIAGAS_MS_20260814,E10,-23.968332999999973,-55.05638799999997
3500023368,Caarapó,Serra geral,pH | TURBIDEZ,2,6.4000001,,,,,SIAGAS_MS_20260814,E10,-22.641943999999967,-54.81583299999994
3500045694,Campo Grande,Serra geral,pH | TURBIDEZ,2,7.30000019,,,,,SIAGAS_MS_20260814,E10,-20.534999999999968,-54.670555999999976
3500027045,Aparecida do Taboado,Bauru,pH | TEMPERATURA,2,6.30999994,,22.8999996,,,SIAGAS_MS_20260814,E10,-20.04166699999996,-51.11472199999997
3500022928,Campo Grande,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,5.88999987,79.8,25.8999996,Solidos dissolvidos totais,151.79,SIAGAS_MS_20260814,E10,-20.42083299999996,-54.64694399999996
3500045646,Três Lagoas,Serra geral,pH | TEMPERATURA | TURBIDEZ,3,5.86999989,,26.0,,,SIAGAS_MS_20260814,E10,-20.97888899999998,-51.77472199999994
3500022824,Terenos,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.44000006,113.3,28.8999996,Solidos dissolvidos totais,120.77,SIAGAS_MS_20260814,E10,-20.48444399999994,-54.86777699999993
3500022816,Sidrolândia,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.40999985,133.1,30.2000008,Solidos dissolvidos totais,97.32,SIAGAS_MS_20260814,E10,-20.923054999999977,-54.96361099999996
3500022567,Costa Rica,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.42999983,48.2,27.5,Solidos dissolvidos totais,33.06,SIAGAS_MS_20260814,E10,-18.54472199999998,-53.13972199999995
3500022930,Campo Grande,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.11000013,128.8,37.2000008,Solidos dissolvidos totais,100.78,SIAGAS_MS_20260814,E10,-20.558887999999968,-54.65111099999996
3500071764,Ribas do Rio Pardo,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,7.19999981,204.8,25.0,,,SIAGAS_MS_20260814,E10,-21.165246999999965,-53.17158299999994
3500071752,Caarapó,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,7.38000011,152.0,23.0,,,SIAGAS_MS_20260814,E10,-22.63704699999994,-54.947405999999944
3500071581,Ivinhema,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,6.21999979,13.27,24.0,,,SIAGAS_MS_20260814,E10,-22.285852999999975,-53.95501699999994
3500071535,Anaurilândia,Bauru_Caiua,pH | TEMPERATURA,2,6.0,,24.0,,,SIAGAS_MS_20260814,E10,-22.165832999999964,-52.68083299999995
3500071489,Sidrolândia,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,6.78999996,48.5,23.0,,,SIAGAS_MS_20260814,E10,-21.17269399999998,-55.30008299999997
3500071469,Cassilândia,Guarani,pH | TEMPERATURA,2,7.01000023,,27.2999992,,,SIAGAS_MS_20260814,E10,-19.111802999999952,-51.729071999999974
3500071450,Glória de Dourados,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,7.5,1.3,19.0,,,SIAGAS_MS_20260814,E10,-22.396755999999982,-54.22765799999996
3500071440,São Gabriel do Oeste,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,5.80999994,30.5,23.2999992,,,SIAGAS_MS_20260814,E10,-19.440966999999944,-54.53443899999996
3500071332,Caarapó,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,7.11999989,100.7,23.0,,,SIAGAS_MS_20260814,E10,-22.646977999999933,-54.810532999999964
3500071321,Água Clara,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,7.0999999,78.09,20.2999992,,,SIAGAS_MS_20260814,E10,-20.444974999999943,-52.86348099999998
3500071286,São Gabriel do Oeste,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,5.19999981,200.0,24.0,,,SIAGAS_MS_20260814,E10,-19.281596999999977,-54.62409999999994
3500071055,Chapadão do Sul,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,7.0999999,5.3,23.2000008,,,SIAGAS_MS_20260814,E10,-18.797221999999977,-52.602499999999964
3500071039,São Gabriel do Oeste,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,6.19999981,40.0,24.0,,,SIAGAS_MS_20260814,E10,-19.321241999999927,-54.68636399999997
3500070991,Campo Grande,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,7.0,169.0,25.0,,,SIAGAS_MS_20260814,E10,-20.562216999999976,-54.581857999999954
3500070764,Glória de Dourados,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,7.0999999,96.59,20.0,,,SIAGAS_MS_20260814,E10,-22.41408299999995,-54.30566699999997
3500070725,São Gabriel do Oeste,Guarani,pH | CONDUTIVIDADE_ELETRICA,2,7.71999979,98.4,,,,SIAGAS_MS_20260814,E10,-19.400224999999978,-54.56240299999996
3500070687,Campo Grande,Serra geral,pH | CONDUTIVIDADE_ELETRICA,2,6.26999998,131.4,,,,SIAGAS_MS_20260814,E10,-20.51222199999995,-54.610555999999974
3500070672,Novo Horizonte do Sul,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,6.5,46.2,26.5,,,SIAGAS_MS_20260814,E10,-22.656796999999983,-53.85980299999994
3500070593,Itaporã,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,8.43999958,171.59,22.0,,,SIAGAS_MS_20260814,E10,-21.894263999999964,-54.727063999999984
3500070472,Itaporã,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,5.84000015,62.6,23.0,,,SIAGAS_MS_20260814,E10,-22.093666999999982,-54.71802799999995
3500069979,São Gabriel do Oeste,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,6.19999981,15.0,25.0,,,SIAGAS_MS_20260814,E10,-19.367999999999938,-54.60469399999994
3500045612,Três Lagoas,Bauru,pH | TURBIDEZ | Solidos dissolvidos totais,3,6.19999981,,,Solidos dissolvidos totais,49.7,SIAGAS_MS_20260814,E10,-20.79416699999996,-51.72249999999997
3500045709,Três Lagoas,Serra geral,pH | CONDUTIVIDADE_ELETRICA,2,5.92000008,6.73,,,,SIAGAS_MS_20260814,E10,-20.994721999999967,-51.839999999999975
3500045635,Campo Grande,,pH | TURBIDEZ,2,7.4000001,,,,,SIAGAS_MS_20260814,E10,-20.485832999999957,-54.67277799999994
3500026937,Jateí,,pH | TEMPERATURA | TURBIDEZ,3,7.53999996,,18.0,,,SIAGAS_MS_20260814,E10,-22.54222199999998,-54.143055999999945
3500045640,Nova Andradina,,pH | TURBIDEZ,2,6.0,,,,,SIAGAS_MS_20260814,E10,-22.29499999999996,-53.389999999999986
3500045639,Três Lagoas,,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | TURBIDEZ,4,7.07999992,46.7,23.0,,,SIAGAS_MS_20260814,E10,-20.797499999999957,-51.643888999999945
3500045662,Três Lagoas,Serra geral,pH | TURBIDEZ,2,5.80000019,,,,,SIAGAS_MS_20260814,E10,-20.797499999999957,-51.87805599999996
3500073735,Dourados,,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.01000023,43.53,22.0,Solidos dissolvidos totais,28.0,SIAGAS_MS_20260814,E10,-22.29989699999993,-54.66577499999994
3500045671,Miranda,,pH | TEMPERATURA | TURBIDEZ,3,7.32000017,,23.0,,,SIAGAS_MS_20260814,E10,-19.97277799999995,-56.30611099999999
3500072514,Rio Brilhante,,pH | TEMPERATURA | Solidos dissolvidos totais,3,7.65999985,,25.0,Solidos dissolvidos totais,86.0,SIAGAS_MS_20260814,E10,-21.863871999999958,-54.52881099999996
3500072669,Jardim,,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,8.47999954,200.84,21.6000004,Solidos dissolvidos totais,33.0,SIAGAS_MS_20260814,E10,-21.297635999999954,-56.22779399999996
3500072874,Jardim,,pH | Solidos dissolvidos totais,2,7.65999985,,,Solidos dissolvidos totais,170.0,SIAGAS_MS_20260814,E10,-21.456282999999928,-56.44563299999999
3500072417,Miranda,,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.94999981,1316.0,27.0,Solidos dissolvidos totais,838.0,SIAGAS_MS_20260814,E10,-20.025027999999963,-56.81236099999995
3500072847,Bonito,,pH | Solidos dissolvidos totais,2,7.5999999,,,Solidos dissolvidos totais,377.5,SIAGAS_MS_20260814,E10,-21.11648299999996,-56.50929699999995
3500073700,Aquidauana,,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,8.69999981,540.0,25.8999996,Solidos dissolvidos totais,270.0,SIAGAS_MS_20260814,E10,-19.967693999999938,-56.27430599999997
3500072775,Rio Brilhante,,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,6.69999981,130.9,22.8999996,,,SIAGAS_MS_20260814,E10,-21.846666999999968,-54.06444399999998
3500072064,Campo Grande,,pH | CONDUTIVIDADE_ELETRICA | Solidos dissolvidos totais,3,6.78000021,140.7,,Solidos dissolvidos totais,62.0,SIAGAS_MS_20260814,E10,-20.39719699999995,-54.557335999999964
3500072751,Corumbá,,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.19000006,353.6,29.0,Solidos dissolvidos totais,268.0,SIAGAS_MS_20260814,E10,-19.291641999999968,-57.59269199999994
3500072461,Dois Irmãos do Buriti,,pH | CONDUTIVIDADE_ELETRICA | Solidos dissolvidos totais,3,7.07999992,223.01,,Solidos dissolvidos totais,26.0,SIAGAS_MS_20260814,E10,-20.96533599999998,-55.34106899999995
3500073697,Glória de Dourados,,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.5999999,82.0,18.0,Solidos dissolvidos totais,53.3,SIAGAS_MS_20260814,E10,-22.39104999999995,-54.21763299999998
3500073844,Aparecida do Taboado,,pH | TEMPERATURA | Solidos dissolvidos totais,3,6.30000019,,22.0,Solidos dissolvidos totais,4.0,SIAGAS_MS_20260814,E10,-20.05683099999993,-51.10813099999996
3500072054,Aquidauana,,pH | CONDUTIVIDADE_ELETRICA | Solidos dissolvidos totais,3,5.9000001,45.0,,Solidos dissolvidos totais,68.9,SIAGAS_MS_20260814,E10,-20.480946999999958,-55.62898599999994
3500073563,Três Lagoas,Bauru,pH | TEMPERATURA | Solidos dissolvidos totais,3,6.0,,27.0,Solidos dissolvidos totais,13.0,SIAGAS_MS_20260814,E10,-20.748188999999968,-51.66515599999997
3500073561,Campo Grande,Serra geral,pH | TEMPERATURA | Solidos dissolvidos totais,3,7.44999981,,27.0,Solidos dissolvidos totais,120.0,SIAGAS_MS_20260814,E10,-20.467574999999954,-54.63151099999993
3500073599,Glória de Dourados,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,5.19999981,11.95,23.0,Solidos dissolvidos totais,25.0,SIAGAS_MS_20260814,E10,-22.390555999999947,-54.21391699999998
3500045700,Campo Grande,Serra geral,pH | TEMPERATURA | TURBIDEZ,3,7.0,,23.0,,,SIAGAS_MS_20260814,E10,-20.631388999999956,-54.56444399999998
3500073618,São Gabriel do Oeste,Botucatu,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,8.19999981,100.0,24.0,Solidos dissolvidos totais,50.0,SIAGAS_MS_20260814,E10,-19.53835799999996,-54.44034999999997
3500073632,Sidrolândia,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.19999981,111.7,26.5,Solidos dissolvidos totais,175.0,SIAGAS_MS_20260814,E10,-21.035488999999927,-54.97286699999995
3500073631,Sidrolândia,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.0999999,111.7,26.5,Solidos dissolvidos totais,175.0,SIAGAS_MS_20260814,E10,-21.033721999999955,-54.97319199999998
3500073647,Terenos,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.30000019,162.0,24.2000008,Solidos dissolvidos totais,208.0,SIAGAS_MS_20260814,E10,-20.347860999999966,-54.899388999999985
3500073650,Brasilândia,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.80000019,9.0,25.0,Solidos dissolvidos totais,10.0,SIAGAS_MS_20260814,E10,-20.61924199999993,-52.77723599999996
3500073659,Novo Horizonte do Sul,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.59000015,31.82,19.0,Solidos dissolvidos totais,20.68,SIAGAS_MS_20260814,E10,-22.60933099999994,-53.90052199999997
3500073664,Inocência,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.0,54.6,24.0,Solidos dissolvidos totais,99.0,SIAGAS_MS_20260814,E10,-19.76264699999996,-51.846518999999944
3500073661,Eldorado,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.0,38.7,19.7999992,Solidos dissolvidos totais,43.0,SIAGAS_MS_20260814,E10,-23.78277799999995,-54.28209399999997
3500073667,Água Clara,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,8.46000004,126.8,21.0,Solidos dissolvidos totais,83.0,SIAGAS_MS_20260814,E10,-20.444082999999978,-52.87658299999998
3500073671,Dourados,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.32000017,109.33,33.0,Solidos dissolvidos totais,46.0,SIAGAS_MS_20260814,E10,-22.222782999999936,-54.77313299999997
3500073679,Itaquiraí,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,4.11000013,12.2,24.0,Solidos dissolvidos totais,8.0,SIAGAS_MS_20260814,E10,-23.181366999999966,-54.05005799999998
3500073693,Campo Grande,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.6500001,45.5,25.5,Solidos dissolvidos totais,95.0,SIAGAS_MS_20260814,E10,-20.46961099999993,-54.72330599999998
3500073701,Nioaque,Botucatu,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.0999999,0.24000000000000002,24.5,Solidos dissolvidos totais,301.0,SIAGAS_MS_20260814,E10,-21.158091999999954,-55.829691999999966
3500073707,Itaporã,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,5.5999999,211.0,24.0,Solidos dissolvidos totais,137.2,SIAGAS_MS_20260814,E10,-22.065332999999953,-54.73133299999995
3500073710,Maracaju,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.32999992,245.2,23.0,Solidos dissolvidos totais,142.7,SIAGAS_MS_20260814,E10,-21.635888999999963,-55.162305999999944
3500073731,Campo Grande,Bauru,pH | CONDUTIVIDADE_ELETRICA | Solidos dissolvidos totais,3,5.17999983,8.4,,Solidos dissolvidos totais,87.0,SIAGAS_MS_20260814,E10,-20.468910999999935,-54.53485299999994
3500073737,Campo Grande,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.0999999,176.4,24.0,Solidos dissolvidos totais,166.0,SIAGAS_MS_20260814,E10,-20.46599999999995,-54.62688899999995
3500073743,Campo Grande,Serra geral,pH | TEMPERATURA | Solidos dissolvidos totais,3,6.5,,27.0,Solidos dissolvidos totais,27.0,SIAGAS_MS_20260814,E10,-20.44691899999998,-54.57679699999994
3500073784,Jateí,Bauru,pH | TEMPERATURA | Solidos dissolvidos totais,3,6.9000001,,18.0,Solidos dissolvidos totais,52.4,SIAGAS_MS_20260814,E10,-22.50019999999995,-54.260099999999966
3500073782,Rio Brilhante,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.21000004,106.7,23.0,Solidos dissolvidos totais,69.0,SIAGAS_MS_20260814,E10,-21.84583299999997,-54.66916699999996
3500073788,Glória de Dourados,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.9000001,37.7,25.0,Solidos dissolvidos totais,24.5,SIAGAS_MS_20260814,E10,-22.490902999999946,-54.16637199999997
3500073774,Dourados,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.61999989,60.8,23.0,Solidos dissolvidos totais,39.52,SIAGAS_MS_20260814,E10,-22.393055999999945,-54.74916699999994
3500073777,Itaquiraí,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.15999985,37.27,23.7000008,Solidos dissolvidos totais,11.0,SIAGAS_MS_20260814,E10,-23.414318999999978,-54.174455999999964
3500073798,Angélica,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.01999998,38.7,25.0,Solidos dissolvidos totais,59.0,SIAGAS_MS_20260814,E10,-22.13986099999994,-53.81075599999997
3500073817,Jateí,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.4000001,92.4,24.0,Solidos dissolvidos totais,62.3,SIAGAS_MS_20260814,E10,-22.533077999999932,-54.36140299999994
3500073840,Caarapó,Serra geral,pH | TEMPERATURA | Solidos dissolvidos totais,3,6.03000021,,23.0,Solidos dissolvidos totais,56.0,SIAGAS_MS_20260814,E10,-22.500088999999946,-54.871418999999946
3500073858,São Gabriel do Oeste,Botucatu,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,5.0,0.2,24.0,Solidos dissolvidos totais,0.5,SIAGAS_MS_20260814,E10,-19.267702999999926,-54.565638999999976
3500073871,Anaurilândia,Bauru,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.0,3.72,24.0,Solidos dissolvidos totais,2.42,SIAGAS_MS_20260814,E10,-22.17349699999994,-52.663224999999954
3500073879,Glória de Dourados,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.78000021,88.2,14.0,Solidos dissolvidos totais,53.4,SIAGAS_MS_20260814,E10,-22.42441699999995,-54.33934999999997
