well_id,municipality,aquifer,static_level_m,zero_requires_review,measurement_date,source,evidence_code,latitude,longitude
3500022740,Ponta Porã,Serra geral,2.8,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.516943999999967,-55.706943999999964
3500023002,Rio Verde de Mato Grosso,Furnas,25.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.920276999999942,-54.84833299999997
3500023004,Sonora,Furnas,44.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-17.587499999999977,-54.74416599999995
3500023042,Corumbá,Rocha cristalina,3.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.133610999999974,-57.49527699999999
3500023065,Bonito,Cuiaba,17.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.11027699999994,-56.49277699999993
3500023074,Bonito,Cuiaba,1.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.112776999999937,-56.49638799999997
3500023078,Bonito,Cuiaba,17.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.113332999999955,-56.49555499999997
3500067713,Corguinho,Guarani,36.85,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.93777799999998,-54.89666699999998
3500027027,Anaurilândia,Caiua,10.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.19138899999996,-52.72194399999995
3500022715,Mundo Novo,Bauru,19.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.929165999999952,-54.29333299999996
3500023183,Anaurilândia,Bauru,11.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.19055499999996,-52.72194399999995
3500023298,Três Lagoas,Caiua,24.15,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.780832999999973,-51.73444399999994
3500023371,Naviraí,Bauru,18.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.04361099999994,-54.18888799999996
3500023154,Amambai,Guarani,6.23,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.991387999999972,-55.33749999999998
3500023199,Dois Irmãos do Buriti,Guarani,11.9,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.74361099999993,-55.50861099999997
3500023212,Dois Irmãos do Buriti,Guarani,18.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.549165999999957,-55.36611099999993
3500023223,Corguinho,Guarani,67.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.68083299999995,-54.78111099999995
3500045622,Ribas do Rio Pardo,Caiua,13.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.645832999999982,-53.60555599999998
3500022669,Campo Grande,Serra geral,5.3,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.416387999999927,-54.599721999999986
3500022806,Sidrolândia,Guarani,31.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.741943999999933,-55.11027699999994
3500022874,Rio Brilhante,Serra geral,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.808332999999948,-54.550554999999974
3500023016,Camapuã,Guarani,5.15,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.559165999999948,-54.039165999999966
3500026836,Ivinhema,Bauru,41.83,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.369166999999948,-53.91916699999996
3500028109,São Gabriel do Oeste,Guarani,23.44,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.25499999999994,-54.326666999999986
3500029180,Água Clara,Caiua,36.93,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.46111099999996,-52.819721999999956
3500070517,Dourados,Serra geral,8.3,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.036257999999975,-54.48153899999994
3500022478,Campo Grande,Serra geral,5.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.476943999999946,-54.62777699999998
3500022504,Campo Grande,Serra geral,14.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.41277699999995,-54.644165999999984
3500022516,Campo Grande,Serra geral,2.4,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.437221999999963,-54.64888799999994
3500022528,Campo Grande,Serra geral,5.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.444721999999956,-54.581665999999984
3500022543,Ivinhema,Caiua,38.41,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.309721999999965,-53.82888799999995
3500022556,Nova Andradina,Bauru,49.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.238887999999974,-53.33749999999998
3500022579,Três Lagoas,Caiua,14.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.79305499999998,-51.73111099999994
3500022584,Três Lagoas,Bauru,44.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.777221999999938,-51.74138799999997
3500022621,Tacuru,Caiua,39.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.568610999999976,-55.06444399999998
3500022622,Ponta Porã,Serra geral,12.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.21999999999997,-55.614443999999935
3500022638,Coxim,Furnas,2.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.50194399999998,-54.68222199999997
3500022643,Ponta Porã,Serra geral,2.1,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.23444399999994,-55.50249999999994
3500022646,Ponta Porã,Serra geral,10.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.206387999999947,-55.580832999999984
3500022659,Campo Grande,Caiua,42.07,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.392499999999927,-54.57472199999995
3500022661,Nioaque,Guarani,2.65,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.15749999999997,-55.82638799999995
3500022662,Nioaque,Guarani,3.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.166387999999927,-55.82638799999995
3500022672,Batayporã,Caiua,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.29361099999994,-53.27333299999998
3500022706,Iguatemi,Caiua,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.664443999999946,-54.56416599999994
3500022780,Caracol,Rocha cristalina,3.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.009999999999934,-57.029443999999955
3500022833,Dourados,Serra geral,34.6,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.256943999999976,-54.79361099999994
3500022846,Dourados,Serra geral,18.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.225832999999966,-54.79444399999994
3500022849,Fátima do Sul,Serra geral,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.379443999999978,-54.51416599999993
3500022880,Dourados,Serra geral,10.25,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.175276999999937,-54.666943999999944
3500022904,Campo Grande,Serra geral,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.496110999999928,-54.63972199999995
3500022953,Campo Grande,Serra geral,5.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.489721999999972,-54.67388799999998
3500022973,Bataguassu,Caiua,38.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.809999999999945,-52.413887999999986
3500022993,Coxim,Furnas,8.8,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.499999999999943,-54.75555499999996
3500023023,Japorã,Caiua,23.36,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.893610999999964,-54.404721999999936
3500023024,Japorã,Caiua,29.3,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.892499999999927,-54.38722199999995
3500023089,Bonito,Cuiaba,11.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.11833299999995,-56.444999999999936
3500023091,Bonito,Cuiaba,6.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.121110999999928,-56.453332999999986
3500023096,Bonito,Cuiaba,2.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.11944399999993,-56.49388799999997
3500023107,Bonito,Cuiaba,11.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.11916599999995,-56.496110999999985
3500023123,Miranda,Cuiaba,13.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.533887999999934,-56.185554999999965
3500023130,Laguna Carapã,Serra geral,6.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.527776999999958,-55.17111099999994
3500023161,Aral Moreira,Serra geral,17.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.946110999999974,-55.61611099999993
3500026990,Angélica,Caiua,32.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.164999999999964,-53.78083299999997
3500027015,Miranda,Caiua,30.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.009166999999934,-56.328332999999986
3500027016,Miranda,Caiua,35.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.101110999999946,-56.46972199999993
3500027046,Caarapó,Serra geral,13.1,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.62888899999996,-54.826666999999986
3500027049,Itaporã,Guarani,10.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.07666699999993,-54.786666999999966
3500027061,Coxim,Furnas,15.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.505277999999976,-54.75472199999996
3500027075,Itaporã,Guarani,5.8,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.081388999999945,-54.78694399999995
3500027078,Coxim,Furnas,3.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.499721999999963,-54.68222199999997
3500027122,Brasilândia,Caiua,27.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.248055999999963,-52.04277799999994
3500027127,Maracaju,Serra geral,6.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.62638899999996,-55.16666699999996
3500027177,Ponta Porã,Serra geral,11.6,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.51388899999995,-55.716943999999955
3500027183,Itaporã,Serra geral,8.8,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.03694399999995,-54.74083299999995
3500027191,Nova Alvorada do Sul,Serra geral,10.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.446943999999974,-54.370277999999985
3500027201,Nova Alvorada do Sul,Serra geral,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.45111099999997,-54.38527799999997
3500027205,Aquidauana,Aquidauana,17.4,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.288888999999926,-56.07555599999995
3500027224,Dois Irmãos do Buriti,Rocha sedimentar,52.35,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.68805599999996,-55.278055999999935
3500027236,Itaquiraí,Caiua,15.7,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.475555999999983,-54.17777799999993
3500027244,Bodoquena,Guará,9.05,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.551388999999972,-56.67555599999997
3500027248,Chapadão do Sul,Não definido,48.1,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.800555999999972,-52.62499999999994
3500027272,Ponta Porã,Serra geral,17.1,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.507221999999956,-55.714999999999975
3500027274,Sidrolândia,Serra geral,29.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.74166699999995,-55.10583299999996
3500027284,Iguatemi,Caiua,19.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.675277999999935,-54.59249999999997
3500027308,Dois Irmãos do Buriti,Aquidauana,14.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.452777999999967,-55.42444399999994
3500023188,Aquidauana,Aquidauana,3.32,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.455554999999947,-55.78527699999995
3500023171,Angélica,Caiua,16.62,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.15916599999997,-53.771387999999945
3500023225,Corguinho,Aquidauana,17.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.726665999999966,-54.737221999999974
3500023262,Rio Brilhante,Serra geral,8.12,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.651943999999958,-54.427776999999935
3500023268,Rio Brilhante,Serra geral,5.15,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.76666599999993,-54.39194399999997
3500023271,Nova Alvorada do Sul,Caiua,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.447776999999974,-54.44222199999996
3500023331,Chapadão do Sul,Bauru,64.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.81361099999998,-52.61999999999995
3500023335,Costa Rica,Serra geral,33.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.530276999999955,-53.143332999999984
3500023382,Batayporã,Caiua,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.300276999999937,-53.27416599999998
3500023266,Rio Brilhante,Guarani,15.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.768054999999947,-54.56749999999994
3500045697,Campo Grande,Guarani,5.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.52388899999994,-54.58527799999996
3500022534,Campo Grande,Guarani,51.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.51555499999995,-54.653332999999975
3500022682,Amambai,Guarani,44.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.09888799999993,-55.20055499999995
3500022886,Campo Grande,Guarani,3.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.486110999999937,-54.64694399999996
3500022942,Campo Grande,Guarani,10.57,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.463332999999977,-54.52333299999998
3500027143,Dourados,Guarani,29.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.267221999999947,-54.81166699999994
3500065121,Douradina,Guarani,25.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.04388899999998,-54.61111099999994
3500022467,Campo Grande,Guarani,75.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.498054999999965,-54.66722199999998
3500022468,Campo Grande,Guarani,4.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.491665999999952,-54.67305499999998
3500022471,Campo Grande,Serra geral,11.8,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.450832999999932,-54.56749999999994
3500022493,Campo Grande,Serra geral,14.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.423610999999937,-54.55555499999997
3500022499,Campo Grande,Serra geral,8.3,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.55499999999995,-54.58722199999994
3500022518,Campo Grande,Serra geral,11.28,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.551387999999974,-54.57722199999995
