well_id,municipality,aquifer,depth_m,source,evidence_code,latitude,longitude
3500022723,Naviraí,Caiua,132.0,SIAGAS_MS_20260814,E02,-23.05777699999993,-54.17999999999995
3500022747,Ponta Porã,Serra geral,206.0,SIAGAS_MS_20260814,E02,-22.491665999999952,-55.74194399999993
3500022750,Ponta Porã,Serra geral,150.0,SIAGAS_MS_20260814,E02,-22.62611099999998,-55.62138799999997
3500022758,Anastácio,Aquidauana,180.0,SIAGAS_MS_20260814,E02,-20.496110999999928,-55.81388799999996
3500022775,Bonito,Cuiaba,120.7,SIAGAS_MS_20260814,E02,-21.115832999999952,-56.508887999999956
3500022779,Caracol,Não definido,81.0,SIAGAS_MS_20260814,E02,-22.018610999999964,-57.01722199999995
3500022792,Jardim,Aquidauana,301.0,SIAGAS_MS_20260814,E02,-21.484999999999957,-56.14222199999995
3500022799,Aquidauana,Aquidauana,120.0,SIAGAS_MS_20260814,E02,-20.48444399999994,-55.636665999999934
3500022826,Dourados,Serra geral,59.0,SIAGAS_MS_20260814,E02,-22.22444399999995,-54.77694399999996
3500022827,Dourados,Serra geral,150.0,SIAGAS_MS_20260814,E02,-22.23083299999996,-54.81499999999994
3500022828,Dourados,Serra geral,70.0,SIAGAS_MS_20260814,E02,-22.239443999999935,-54.79944399999994
3500022831,Dourados,Serra geral,150.0,SIAGAS_MS_20260814,E02,-22.258610999999974,-54.81694399999998
3500022840,Dourados,Serra geral,120.0,SIAGAS_MS_20260814,E02,-22.266110999999967,-54.81194399999998
3500022842,Dourados,Serra geral,135.0,SIAGAS_MS_20260814,E02,-22.25583299999994,-54.79805499999998
3500022850,Dourados,Serra geral,112.0,SIAGAS_MS_20260814,E02,-22.208610999999962,-54.65138799999994
3500022879,Dourados,Serra geral,74.5,SIAGAS_MS_20260814,E02,-22.183054999999968,-54.67138799999998
3500022889,Campo Grande,Serra geral,111.0,SIAGAS_MS_20260814,E02,-20.447499999999934,-54.62666599999994
3500022897,Campo Grande,Serra geral,149.5,SIAGAS_MS_20260814,E02,-20.451665999999932,-54.644165999999984
