well_id,municipality,aquifer,test_type,test_date,static_level_m,dynamic_level_m,stabilized_yield,interpretation_method,source,evidence_code,latitude,longitude
3500023018,Três Lagoas,Bauru,Rebaixamento,1981-10-23,31.88,52.82,105.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.78361099999995,-51.74388799999997
3500023178,Anaurilândia,,Escalonado,1992-07-16,24.0,37.5,48.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.178332999999952,-52.71833299999997
3500023344,Nioaque,Guarani,Rebaixamento,1985-03-19,40.0,65.0,16.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.25333299999994,-55.97361099999995
3500023139,Amambai,Guarani,Escalonado,1987-11-28,7.03,43.17,132.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.104443999999944,-55.226943999999946
3500023137,Amambai,Guarani,Escalonado,1978-11-11,22.0,52.0,45.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.10694399999994,-55.23055499999998
3500023219,Rochedo,Guarani,Rebaixamento,1997-08-14,11.0,29.0,15.23,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.881943999999976,-54.62722199999996
3500023246,Camapuã,Guarani,Escalonado,1989-01-23,40.2,70.52,5.65,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.559999999999945,-54.038610999999946
3500023315,Aparecida do Taboado,Serra geral,Escalonado,1978-10-05,11.0,66.3,15.8,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.084443999999962,-51.09944399999995
3500023320,Aparecida do Taboado,Não definido,Rebaixamento,1983-10-23,10.0,19.92,2.62,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.09499999999997,-51.028332999999975
3500022486,Campo Grande,Serra geral,Rebaixamento,1996-05-27,12.0,26.0,26.2,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.472499999999968,-54.58527699999996
3500022522,Campo Grande,Serra geral,Rebaixamento,1995-07-04,6.0,17.0,12.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.415554999999927,-54.59666599999997
3500022693,Caarapó,Serra geral,Rebaixamento,1984-07-11,18.0,23.14,55.38,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.642499999999927,-54.82444399999997
3500022872,Rio Brilhante,Serra geral,Rebaixamento,1986-02-14,15.4,23.15,113.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.79499999999996,-54.552776999999935
3500026840,Iguatemi,Caiua,Rebaixamento,2010-06-04,4.15,18.6,5.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.66972199999998,-54.56499999999994
3500029178,Santa Rita do Pardo,Bauru,Rebaixamento,2011-10-23,13.65,22.58,8.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.300555999999972,-52.818888999999956
3500022494,Campo Grande,Serra geral,Rebaixamento,1984-01-02,18.0,27.0,20.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.42111099999994,-54.623332999999946
3500022511,Campo Grande,Serra geral,Rebaixamento,1995-11-26,8.0,23.0,42.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.460276999999962,-54.636665999999934
3500022539,Batayporã,Caiua,Rebaixamento,2001-07-10,14.0,26.0,48.64,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.300554999999974,-53.26444399999997
3500022553,Nova Andradina,Bauru,Rebaixamento,1981-08-05,10.5,59.0,129.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.254443999999978,-53.34055499999994
3500022592,Coxim,Furnas,Rebaixamento,2000-04-04,13.6,29.0,13.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.51194399999997,-54.74444399999999
3500022601,Camapuã,Guarani,Rebaixamento,2003-02-02,18.0,100.0,5.4,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.528332999999975,-54.04305499999998
3500022612,Rio Verde de Mato Grosso,Furnas,Escalonado,2000-08-17,6.0,32.0,42.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.923887999999977,-54.84722199999993
3500022616,Bataguassu,Caiua,Rebaixamento,2002-02-02,50.0,73.0,20.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.76222199999995,-52.55249999999995
3500022647,Angélica,Caiua,Rebaixamento,1981-10-20,16.62,49.25,60.46,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.15972199999993,-53.77249999999998
3500022660,Bonito,Cuiaba,Rebaixamento,2004-04-04,60.0,60.8,1.92,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.24249999999995,-56.447776999999974
3500022667,Aral Moreira,Serra geral,Rebaixamento,1981-02-02,9.33,41.8,44.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.771110999999962,-55.62722199999996
3500022677,Nova Andradina,Bauru,Rebaixamento,2000-08-26,27.0,59.0,45.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.23111099999994,-53.33666599999998
3500022717,Mundo Novo,Bauru,Rebaixamento,1987-08-25,18.6,73.72,16.8,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.924721999999974,-54.29222199999998
3500022756,Anastácio,Aquidauana,Rebaixamento,1978-05-05,8.0,25.19,37.89,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.47472199999993,-55.811665999999946
3500022778,Caracol,Rocha cristalina,Rebaixamento,1984-09-19,0.0,60.0,36.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.01277699999997,-57.028332999999975
3500022782,Caracol,Rocha cristalina,Rebaixamento,2002-01-02,3.0,60.0,1.12,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.011387999999954,-57.02166599999998
3500022788,Dois Irmãos do Buriti,Guarani,Rebaixamento,2003-01-02,18.5,30.0,40.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.688332999999943,-55.27083299999998
3500022791,Jardim,Aquidauana,Rebaixamento,1975-01-02,8.0,58.0,3.1,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.486387999999977,-56.14166599999999
3500022794,Bodoquena,Cuiaba,Rebaixamento,1988-07-25,3.15,65.65,10.3,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.53472199999993,-56.90194399999996
3500022796,Bodoquena,Rocha cristalina,Rebaixamento,1987-05-13,3.25,77.4,4.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.533887999999934,-56.89916599999998
3500022797,Aquidauana,Aquidauana,Rebaixamento,1984-05-05,6.0,36.21,8.3,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.12833299999994,-55.39583299999998
3500022802,Dois Irmãos do Buriti,Aquidauana,Rebaixamento,1992-07-13,9.5,45.0,6.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.45333299999993,-55.424999999999955
3500022818,Terenos,Serra geral,Rebaixamento,1978-06-04,24.0,26.2,12.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.44333299999994,-54.86027699999994
3500022835,Dourados,Serra geral,Rebaixamento,1997-05-04,13.4,27.6,72.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.24361099999993,-54.79222199999998
3500022838,Dourados,Serra geral,Rebaixamento,1981-10-23,39.67,72.5,28.29,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.228610999999944,-54.78638799999993
3500022878,Dourados,Serra geral,Rebaixamento,1984-07-01,11.0,18.5,65.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.085554999999943,-54.50638799999996
3500022902,Campo Grande,Serra geral,Rebaixamento,1997-07-29,15.0,17.5,37.8,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.50555499999996,-54.593054999999936
3500022907,Campo Grande,Serra geral,Rebaixamento,1982-01-15,2.9,38.0,48.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.534999999999968,-54.623887999999965
3500022911,Campo Grande,Serra geral,Rebaixamento,1991-05-18,1.5,9.9,50.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.560276999999928,-54.57972199999995
3500022914,Campo Grande,Caiua,Rebaixamento,1998-01-01,17.0,29.0,18.8,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.39055499999995,-54.558610999999985
