well_id,municipality,aquifer,test_type,test_date,source,evidence_code,latitude,longitude
3500023035,Juti,Serra geral,Rebaixamento,1983-12-11,SGB_HIDRO_MS_2024_POCOS,E07,-22.859999999999957,-54.63055499999996
3500023052,Bonito,Cuiaba,Rebaixamento,1982-02-20,SGB_HIDRO_MS_2024_POCOS,E07,-21.08888799999994,-56.443610999999976
3500023076,Bonito,Cuiaba,Rebaixamento,2002-02-25,SGB_HIDRO_MS_2024_POCOS,E07,-21.113332999999955,-56.476110999999946
3500023077,Bonito,Cuiaba,Rebaixamento,1988-06-11,SGB_HIDRO_MS_2024_POCOS,E07,-21.122499999999945,-56.49416599999995
3500067714,Aral Moreira,Serra geral,Rebaixamento,2022-03-10,SGB_HIDRO_MS_2024_POCOS,E07,-23.058888999999965,-55.43138899999997
3500023392,Nova Andradina,Caiua,Rebaixamento,1987-03-31,SGB_HIDRO_MS_2024_POCOS,E07,-21.811943999999983,-53.12944399999998
3500022982,Paranaíba,Serra geral,Rebaixamento,1988-12-29,SGB_HIDRO_MS_2024_POCOS,E07,-19.675554999999974,-51.197499999999934
3500067717,Costa Rica,Serra geral,Rebaixamento,2022-05-06,SGB_HIDRO_MS_2024_POCOS,E07,-18.53305599999993,-53.14555599999994
3500067715,Costa Rica,,Rebaixamento,2016-12-17,SGB_HIDRO_MS_2024_POCOS,E07,-18.522221999999942,-53.153610999999955
3500045664,Batayporã,,Rebaixamento,2009-01-10,SGB_HIDRO_MS_2024_POCOS,E07,-22.28361099999995,-53.28333299999997
3500030643,Bandeirantes,,Rebaixamento,1987-11-20,SGB_HIDRO_MS_2024_POCOS,E07,-19.91722199999998,-54.353332999999964
3500067320,Paraíso das Águas,,Rebaixamento,2016-09-13,SGB_HIDRO_MS_2024_POCOS,E07,-18.88722199999995,-53.00444399999998
3500023260,Rio Brilhante,Guarani,Rebaixamento,1996-07-01,SGB_HIDRO_MS_2024_POCOS,E07,-21.789443999999946,-54.55583299999995
3500023380,Jateí,Serra geral,Rebaixamento,1972-12-11,SGB_HIDRO_MS_2024_POCOS,E07,-22.48111099999994,-54.30472199999997
3500022823,Terenos,Guarani,Rebaixamento,1997-06-09,SGB_HIDRO_MS_2024_POCOS,E07,-20.434999999999945,-54.86722199999997
3500022851,Itaporã,Guarani,Rebaixamento,2003-10-16,SGB_HIDRO_MS_2024_POCOS,E07,-22.081943999999964,-54.787499999999966
3500022805,Sidrolândia,Guarani,Rebaixamento,1989-04-10,SGB_HIDRO_MS_2024_POCOS,E07,-20.750276999999983,-55.11722199999997
3500023204,Dois Irmãos do Buriti,Aquidauana,Rebaixamento,1990-08-05,SGB_HIDRO_MS_2024_POCOS,E07,-20.716110999999955,-55.46055499999994
3500022570,Inocência,Serra geral,Rebaixamento,1973-05-28,SGB_HIDRO_MS_2024_POCOS,E07,-19.727776999999946,-51.92972199999997
3500022574,Três Lagoas,Bauru,Rebaixamento,1974-09-05,SGB_HIDRO_MS_2024_POCOS,E07,-20.78694399999995,-51.70388799999995
3500022618,Dourados,Guarani,Rebaixamento,2001-04-17,SGB_HIDRO_MS_2024_POCOS,E07,-22.080832999999927,-55.32527699999997
3500022636,Aparecida do Taboado,Serra geral,Rebaixamento,2005-12-07,SGB_HIDRO_MS_2024_POCOS,E07,-20.06583299999994,-51.11027699999994
3500022657,Campo Grande,Serra geral,Rebaixamento,1982-03-27,SGB_HIDRO_MS_2024_POCOS,E07,-20.44416599999994,-54.55527699999993
3500022666,Guia Lopes da Laguna,Aquidauana,Rebaixamento,1978-02-02,SGB_HIDRO_MS_2024_POCOS,E07,-21.463332999999977,-56.11972199999997
3500022857,Maracaju,Guarani,Rebaixamento,2004-04-16,SGB_HIDRO_MS_2024_POCOS,E07,-21.62611099999998,-55.15805499999993
3500022887,Campo Grande,Guarani,Rebaixamento,1976-11-13,SGB_HIDRO_MS_2024_POCOS,E07,-20.499999999999943,-54.654721999999936
3500022920,Campo Grande,Guarani,Rebaixamento,1994-01-14,SGB_HIDRO_MS_2024_POCOS,E07,-20.466943999999955,-54.56888799999996
3500022937,Angélica,Serra geral,Rebaixamento,1978-03-17,SGB_HIDRO_MS_2024_POCOS,E07,-22.144721999999945,-53.767499999999984
3500022952,Campo Grande,Serra geral,Rebaixamento,1982-06-25,SGB_HIDRO_MS_2024_POCOS,E07,-20.402499999999975,-54.572221999999954
3500022960,Água Clara,Serra geral,Rebaixamento,2002-03-19,SGB_HIDRO_MS_2024_POCOS,E07,-20.446387999999956,-52.87138799999997
3500022969,Água Clara,Serra geral,Rebaixamento,2002-03-24,SGB_HIDRO_MS_2024_POCOS,E07,-20.446387999999956,-52.872221999999965
3500023007,Rio Verde de Mato Grosso,Furnas,Rebaixamento,2002-05-12,SGB_HIDRO_MS_2024_POCOS,E07,-18.914999999999964,-54.84694399999995
3500023099,Ribas do Rio Pardo,Serra geral,Rebaixamento,1992-02-09,SGB_HIDRO_MS_2024_POCOS,E07,-20.42111099999994,-53.872499999999945
3500023102,São Gabriel do Oeste,Guarani,Rebaixamento,1980-02-20,SGB_HIDRO_MS_2024_POCOS,E07,-19.383332999999936,-54.57472199999995
3500023172,Angélica,,Rebaixamento,1978-03-21,SGB_HIDRO_MS_2024_POCOS,E07,-22.15916599999997,-53.771387999999945
3500023008,Rio Verde de Mato Grosso,,Rebaixamento,1974-09-01,SGB_HIDRO_MS_2024_POCOS,E07,-18.92194399999994,-54.84777699999995
3500023365,Itaquiraí,,Rebaixamento,1992-08-06,SGB_HIDRO_MS_2024_POCOS,E07,-23.488887999999974,-54.165832999999964
3500022927,Campo Grande,Guarani,Rebaixamento,2003-08-20,SGB_HIDRO_MS_2024_POCOS,E07,-20.41888799999998,-54.639999999999986
3500045329,Campo Grande,Serra geral,Rebaixamento,1983-01-01,SGB_HIDRO_MS_2024_POCOS,E07,-20.47111099999995,-54.550832999999955
3500023159,Aral Moreira,Serra geral,Escalonado,1981-04-14,SGB_HIDRO_MS_2024_POCOS,E07,-23.023887999999943,-55.58611099999996
3500023351,Paranhos,Bauru,Escalonado,1981-10-03,SGB_HIDRO_MS_2024_POCOS,E07,-23.88999999999993,-55.426387999999974
3500023369,Caarapó,Serra geral,Rebaixamento,1980-10-21,SGB_HIDRO_MS_2024_POCOS,E07,-22.631943999999976,-54.82111099999997
3500023370,Caarapó,Serra geral,Rebaixamento,1984-07-13,SGB_HIDRO_MS_2024_POCOS,E07,-22.642499999999927,-54.82361099999997
3500023168,Angélica,Bauru,Rebaixamento,,SGB_HIDRO_MS_2024_POCOS,E07,-22.165832999999964,-53.77694399999996
3500023394,Campo Grande,Guarani,Rebaixamento,1997-04-30,SGB_HIDRO_MS_2024_POCOS,E07,-20.41888799999998,-54.64027699999997
3500022822,Terenos,Serra geral,Rebaixamento,1984-07-16,SGB_HIDRO_MS_2024_POCOS,E07,-20.439165999999943,-54.87055499999997
3500022472,Campo Grande,Serra geral,Rebaixamento,1992-08-27,SGB_HIDRO_MS_2024_POCOS,E07,-20.468332999999973,-54.64305499999995
3500022596,Camapuã,Guarani,Rebaixamento,1994-10-01,SGB_HIDRO_MS_2024_POCOS,E07,-19.558332999999948,-54.039999999999964
3500022801,Nioaque,Guarani,Rebaixamento,1987-05-15,SGB_HIDRO_MS_2024_POCOS,E07,-21.143332999999927,-55.82361099999997
3500022873,Rio Brilhante,Serra geral,Rebaixamento,1987-04-29,SGB_HIDRO_MS_2024_POCOS,E07,-21.803610999999933,-54.539443999999946
3500022882,Dourados,Serra geral,Rebaixamento,1973-03-07,SGB_HIDRO_MS_2024_POCOS,E07,-22.13166599999994,-54.61666599999995
3500022980,Ribas do Rio Pardo,Serra geral,Rebaixamento,1979-08-31,SGB_HIDRO_MS_2024_POCOS,E07,-20.43999999999994,-53.75583299999994
3500022487,Campo Grande,Serra geral,Rebaixamento,1996-07-04,SGB_HIDRO_MS_2024_POCOS,E07,-20.48138799999998,-54.66194399999995
3500022495,Campo Grande,Serra geral,Rebaixamento,1984-12-13,SGB_HIDRO_MS_2024_POCOS,E07,-20.436665999999946,-54.623054999999965
3500022523,Campo Grande,Serra geral,Rebaixamento,1994-12-15,SGB_HIDRO_MS_2024_POCOS,E07,-20.41916599999996,-54.66083299999997
3500022532,Campo Grande,Serra geral,Rebaixamento,1997-06-26,SGB_HIDRO_MS_2024_POCOS,E07,-20.685276999999928,-54.582221999999945
3500022536,Campo Grande,Serra geral,Rebaixamento,1996-01-27,SGB_HIDRO_MS_2024_POCOS,E07,-20.53361099999995,-54.65611099999995
3500022545,Ivinhema,Caiua,Rebaixamento,1978-04-10,SGB_HIDRO_MS_2024_POCOS,E07,-22.309721999999965,-53.83666599999998
3500022562,Cassilândia,Caiua,Rebaixamento,1984-01-23,SGB_HIDRO_MS_2024_POCOS,E07,-19.10749999999996,-51.74999999999994
3500022623,Ponta Porã,Caiua,Rebaixamento,2002-02-04,SGB_HIDRO_MS_2024_POCOS,E07,-22.22277699999995,-55.45083299999993
3500022625,Corumbá,Não definido,Rebaixamento,1994-02-24,SGB_HIDRO_MS_2024_POCOS,E07,-19.071665999999937,-57.73999999999995
3500022639,Rio Negro,Furnas,Rebaixamento,1984-05-03,SGB_HIDRO_MS_2024_POCOS,E07,-19.29472199999998,-54.96444399999996
3500022645,Ivinhema,Caiua,Rebaixamento,2001-11-28,SGB_HIDRO_MS_2024_POCOS,E07,-22.383332999999936,-53.59805499999993
3500022648,Nova Alvorada do Sul,Serra geral,Rebaixamento,2002-03-06,SGB_HIDRO_MS_2024_POCOS,E07,-21.447499999999934,-54.371110999999985
3500022670,Campo Grande,Caiua,Rebaixamento,1997-01-06,SGB_HIDRO_MS_2024_POCOS,E07,-20.441110999999978,-54.55416599999995
3500022676,Ivinhema,Caiua,Rebaixamento,1991-06-11,SGB_HIDRO_MS_2024_POCOS,E07,-22.304165999999952,-53.82805499999995
3500022721,Naviraí,Caiua,Rebaixamento,1993-12-14,SGB_HIDRO_MS_2024_POCOS,E07,-23.052776999999935,-54.19222199999996
3500022761,Aquidauana,Aquidauana,Rebaixamento,1969-01-02,SGB_HIDRO_MS_2024_POCOS,E07,-20.47194399999995,-55.77777699999996
3500022771,Aquidauana,Aquidauana,Rebaixamento,1981-01-02,SGB_HIDRO_MS_2024_POCOS,E07,-20.47305499999993,-55.76333299999993
3500022772,Bodoquena,Rocha sedimentar,Rebaixamento,2005-02-25,SGB_HIDRO_MS_2024_POCOS,E07,-20.553332999999952,-56.69027699999998
3500022793,Miranda,Cuiaba,Rebaixamento,1991-06-01,SGB_HIDRO_MS_2024_POCOS,E07,-20.258610999999974,-56.37999999999994
3500022795,Bodoquena,Cuiaba,Rebaixamento,1981-04-25,SGB_HIDRO_MS_2024_POCOS,E07,-20.538610999999946,-56.884999999999934
3500022836,Dourados,Serra geral,Rebaixamento,1981-01-02,SGB_HIDRO_MS_2024_POCOS,E07,-22.206943999999964,-54.81555499999996
3500022853,Itaporã,Serra geral,Rebaixamento,2003-10-16,SGB_HIDRO_MS_2024_POCOS,E07,-22.079721999999947,-54.79916599999996
3500022861,Maracaju,Serra geral,Rebaixamento,2005-03-15,SGB_HIDRO_MS_2024_POCOS,E07,-21.609721999999977,-55.163887999999986
3500022862,Maracaju,Serra geral,Rebaixamento,2006-01-30,SGB_HIDRO_MS_2024_POCOS,E07,-21.62694399999998,-55.16749999999996
3500022876,Rio Brilhante,Serra geral,Rebaixamento,1975-02-27,SGB_HIDRO_MS_2024_POCOS,E07,-21.801943999999935,-54.542776999999944
3500022917,Campo Grande,Serra geral,Rebaixamento,1995-04-12,SGB_HIDRO_MS_2024_POCOS,E07,-20.484999999999957,-54.569999999999936
3500022921,Campo Grande,Serra geral,Rebaixamento,1994-06-26,SGB_HIDRO_MS_2024_POCOS,E07,-20.559721999999965,-54.57166599999994
3500022923,Campo Grande,Serra geral,Rebaixamento,1993-11-25,SGB_HIDRO_MS_2024_POCOS,E07,-20.552499999999952,-54.61722199999997
3500022951,Campo Grande,Serra geral,Rebaixamento,1982-10-20,SGB_HIDRO_MS_2024_POCOS,E07,-20.436110999999983,-54.62555499999996
3500022966,Água Clara,Bauru,Rebaixamento,1979-12-23,SGB_HIDRO_MS_2024_POCOS,E07,-20.445554999999956,-52.87999999999994
3500023025,Japorã,Caiua,Rebaixamento,1986-11-28,SGB_HIDRO_MS_2024_POCOS,E07,-23.893610999999964,-54.405554999999936
3500023109,Novo Horizonte do Sul,Caiua,Rebaixamento,1990-11-07,SGB_HIDRO_MS_2024_POCOS,E07,-22.651665999999977,-53.85777699999994
3500023115,Corumbá,Não definido,Rebaixamento,2001-10-10,SGB_HIDRO_MS_2024_POCOS,E07,-19.090554999999938,-57.694443999999976
3500023175,Angélica,Serra geral,Rebaixamento,1973-08-24,SGB_HIDRO_MS_2024_POCOS,E07,-22.158054999999933,-53.77416599999998
3500023207,Anastácio,Bauru,Rebaixamento,1997-02-14,SGB_HIDRO_MS_2024_POCOS,E07,-20.78472199999993,-55.49861099999998
3500023302,Três Lagoas,Caiua,Rebaixamento,1996-08-06,SGB_HIDRO_MS_2024_POCOS,E07,-20.78638799999993,-51.708054999999945
3500023376,Novo Horizonte do Sul,Bauru,Rebaixamento,1989-04-17,SGB_HIDRO_MS_2024_POCOS,E07,-22.616665999999952,-53.885832999999934
3500023174,Angélica,Caiua,Rebaixamento,,SGB_HIDRO_MS_2024_POCOS,E07,-22.16222199999993,-53.78222199999993
3500030628,São Gabriel do Oeste,Serra geral,Rebaixamento,2009-04-10,SGB_HIDRO_MS_2024_POCOS,E07,-19.28277799999995,-54.61111099999994
3500023251,Camapuã,Guarani,Escalonado,1991-09-21,SGB_HIDRO_MS_2024_POCOS,E07,-19.51555499999995,-54.04888799999998
3500022703,Eldorado,Caiua,Rebaixamento,1979-01-02,SGB_HIDRO_MS_2024_POCOS,E07,-23.781387999999936,-54.28416599999997
3500022705,Iguatemi,Caiua,Rebaixamento,2004-09-15,SGB_HIDRO_MS_2024_POCOS,E07,-23.68138799999997,-54.559721999999965
3500022716,Ponta Porã,Serra geral,Rebaixamento,1996-12-23,SGB_HIDRO_MS_2024_POCOS,E07,-22.59888799999993,-55.36833299999995
3500022732,Ponta Porã,Serra geral,Rebaixamento,1975-01-31,SGB_HIDRO_MS_2024_POCOS,E07,-22.558610999999928,-55.70055499999995
3500022734,Ponta Porã,Serra geral,Rebaixamento,1981-07-20,SGB_HIDRO_MS_2024_POCOS,E07,-22.507499999999936,-55.71555499999994
3500022742,Ponta Porã,Serra geral,Rebaixamento,1997-01-02,SGB_HIDRO_MS_2024_POCOS,E07,-22.573887999999954,-55.69111099999998
3500023050,Bonito,Cuiaba,Rebaixamento,1990-01-15,SGB_HIDRO_MS_2024_POCOS,E07,-21.08888799999994,-56.44999999999993
3500023057,Bonito,Cuiaba,Rebaixamento,2000-01-01,SGB_HIDRO_MS_2024_POCOS,E07,-21.09972199999993,-56.47305499999993
3500023061,Bonito,Cuiaba,Rebaixamento,2000-03-07,SGB_HIDRO_MS_2024_POCOS,E07,-21.109721999999977,-56.49527699999999
3500023073,Bonito,Cuiaba,Rebaixamento,2001-04-20,SGB_HIDRO_MS_2024_POCOS,E07,-21.13166599999994,-56.496943999999985
3500023079,Bonito,Cuiaba,Rebaixamento,1970-07-15,SGB_HIDRO_MS_2024_POCOS,E07,-21.122499999999945,-56.498054999999965
3500045465,Chapadão do Sul,Não definido,Rebaixamento,2010-01-25,SGB_HIDRO_MS_2024_POCOS,E07,-18.791943999999944,-52.61972199999997
3500023036,Glória de Dourados,Serra geral,Rebaixamento,1978-11-20,SGB_HIDRO_MS_2024_POCOS,E07,-22.406665999999973,-54.22972199999998
3500067702,Ribas do Rio Pardo,Serra geral,Rebaixamento,2018-07-30,SGB_HIDRO_MS_2024_POCOS,E07,-20.277499999999975,-53.72888899999998
3500030642,Bandeirantes,,Rebaixamento,1983-07-19,SGB_HIDRO_MS_2024_POCOS,E07,-19.929443999999933,-54.35749999999996
3500067667,Bandeirantes,,Rebaixamento,2017-03-21,SGB_HIDRO_MS_2024_POCOS,E07,-19.90861099999995,-54.36861099999999
3500022680,Ladário,,Rebaixamento,1995-09-03,SGB_HIDRO_MS_2024_POCOS,E07,-19.01194399999997,-57.59611099999995
