well_id,municipality,aquifer,latest_evidence_date,evidence_type,age_years,source,evidence_code,latitude,longitude
3500026957,Caarapó,Serra geral,2009-03-20,CHEM_ANALYSIS,17.443,SGB_HIDRO_MS_2024_POCOS,E11,-22.59555599999993,-54.81555599999996
3500026979,Dourados,Serra geral,2009-03-30,CHEM_ANALYSIS,17.415,SGB_HIDRO_MS_2024_POCOS,E11,-21.94805599999995,-54.36694399999993
3500026997,Paranaíba,Bauru,2009-08-25,CHEM_ANALYSIS,17.01,SGB_HIDRO_MS_2024_POCOS,E11,-19.700832999999932,-51.16999999999996
3500027019,Nova Alvorada do Sul,Serra geral,2009-11-05,PUMPING_TEST,16.813,SGB_HIDRO_MS_2024_POCOS,E11,-21.452777999999967,-54.381110999999976
3500027044,Três Lagoas,Caiua,2009-07-27,PUMPING_TEST,17.09,SGB_HIDRO_MS_2024_POCOS,E11,-20.765555999999947,-51.66555599999998
3500027149,Maracaju,Serra geral,2009-12-30,PUMPING_TEST,16.663,SGB_HIDRO_MS_2024_POCOS,E11,-21.654166999999973,-55.100832999999966
3500027154,Camapuã,Guarani,2009-08-27,PUMPING_TEST,17.005,SGB_HIDRO_MS_2024_POCOS,E11,-19.513332999999932,-54.04833299999996
3500027162,Rio Brilhante,Serra geral,2009-09-01,CHEM_ANALYSIS,16.991,SGB_HIDRO_MS_2024_POCOS,E11,-21.807777999999928,-54.549721999999974
3500027173,Três Lagoas,Bauru,2009-11-10,CHEM_ANALYSIS,16.799,SGB_HIDRO_MS_2024_POCOS,E11,-20.776943999999958,-51.66416699999996
3500027176,Três Lagoas,Bauru,2009-10-06,PUMPING_TEST,16.895,SGB_HIDRO_MS_2024_POCOS,E11,-20.77249999999998,-51.737499999999955
3500027212,Aral Moreira,Serra geral,2009-10-06,PUMPING_TEST,16.895,SGB_HIDRO_MS_2024_POCOS,E11,-22.94888899999995,-55.622221999999965
3500027286,Aparecida do Taboado,Caiua,2009-10-15,PUMPING_TEST,16.871,SGB_HIDRO_MS_2024_POCOS,E11,-20.088610999999958,-51.299721999999974
3500027294,Três Lagoas,Bauru,2009-10-06,PUMPING_TEST,16.895,SGB_HIDRO_MS_2024_POCOS,E11,-20.797221999999977,-51.71138899999994
3500045287,Três Lagoas,Caiua,2009-07-25,PUMPING_TEST,17.095,SGB_HIDRO_MS_2024_POCOS,E11,-20.65861099999995,-51.66555599999998
3500045398,Maracaju,Serra geral,2009-12-29,PUMPING_TEST,16.665,SGB_HIDRO_MS_2024_POCOS,E11,-21.578055999999947,-55.17944399999993
3500045626,Campo Grande,Serra geral,2009-10-13,CHEM_ANALYSIS,16.876,SGB_HIDRO_MS_2024_POCOS,E11,-20.44972199999995,-54.59249999999997
3500023356,Sete Quedas,Serra geral,1981-03-30,CHEM_ANALYSIS,45.415,SGB_HIDRO_MS_2024_POCOS,E11,-23.968332999999973,-55.05638799999997
3500023368,Caarapó,Serra geral,1980-12-09,CHEM_ANALYSIS,45.719,SGB_HIDRO_MS_2024_POCOS,E11,-22.641943999999967,-54.81583299999994
3500045694,Campo Grande,Serra geral,2008-01-01,PUMPING_TEST,18.658,SGB_HIDRO_MS_2024_POCOS,E11,-20.534999999999968,-54.670555999999976
3500023355,Sete Quedas,Bauru,1987-02-26,PUMPING_TEST,39.504,SGB_HIDRO_MS_2024_POCOS,E11,-23.97388799999993,-55.03499999999997
3500027045,Aparecida do Taboado,Bauru,2009-08-28,PUMPING_TEST,17.002,SGB_HIDRO_MS_2024_POCOS,E11,-20.04166699999996,-51.11472199999997
3500023312,Inocência,Bauru,1985-05-22,PUMPING_TEST,41.27,SGB_HIDRO_MS_2024_POCOS,E11,-19.73166599999996,-51.864443999999935
3500022928,Campo Grande,Guarani,2003-08-20,PUMPING_TEST,23.025,SGB_HIDRO_MS_2024_POCOS,E11,-20.42083299999996,-54.64694399999996
3500045646,Três Lagoas,Serra geral,2011-01-24,CHEM_ANALYSIS,15.595,SGB_HIDRO_MS_2024_POCOS,E11,-20.97888899999998,-51.77472199999994
3500022824,Terenos,Guarani,2004-07-28,CHEM_ANALYSIS,22.086,SGB_HIDRO_MS_2024_POCOS,E11,-20.48444399999994,-54.86777699999993
3500022816,Sidrolândia,Guarani,2004-12-01,PUMPING_TEST,21.741,SGB_HIDRO_MS_2024_POCOS,E11,-20.923054999999977,-54.96361099999996
3500022567,Costa Rica,Guarani,2003-03-18,CHEM_ANALYSIS,23.45,SGB_HIDRO_MS_2024_POCOS,E11,-18.54472199999998,-53.13972199999995
3500022930,Campo Grande,Guarani,2003-08-20,PUMPING_TEST,23.025,SGB_HIDRO_MS_2024_POCOS,E11,-20.558887999999968,-54.65111099999996
3500045612,Três Lagoas,Bauru,2010-11-23,CHEM_ANALYSIS,15.765,SGB_HIDRO_MS_2024_POCOS,E11,-20.79416699999996,-51.72249999999997
3500045709,Três Lagoas,Serra geral,2012-07-26,CHEM_ANALYSIS,14.092,SGB_HIDRO_MS_2024_POCOS,E11,-20.994721999999967,-51.839999999999975
3500045635,Campo Grande,,2006-12-27,PUMPING_TEST,19.671,SGB_HIDRO_MS_2024_POCOS,E11,-20.485832999999957,-54.67277799999994
3500026937,Jateí,,2009-03-25,CHEM_ANALYSIS,17.429,SGB_HIDRO_MS_2024_POCOS,E11,-22.54222199999998,-54.143055999999945
