well_id,municipality,aquifer,specific_capacity,unit,source,evidence_code,latitude,longitude
3500022717,Mundo Novo,Bauru,0.305,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-23.924721999999974,-54.29222199999998
3500022756,Anastácio,Aquidauana,2.204,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.47472199999993,-55.811665999999946
3500022778,Caracol,Rocha cristalina,0.6,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.01277699999997,-57.028332999999975
3500022782,Caracol,Rocha cristalina,0.02,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.011387999999954,-57.02166599999998
3500022788,Dois Irmãos do Buriti,Guarani,3.478,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.688332999999943,-55.27083299999998
3500022791,Jardim,Aquidauana,0.062,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.486387999999977,-56.14166599999999
3500022794,Bodoquena,Cuiaba,0.165,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.53472199999993,-56.90194399999996
3500022796,Bodoquena,Rocha cristalina,0.062,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.533887999999934,-56.89916599999998
3500022797,Aquidauana,Aquidauana,0.275,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.12833299999994,-55.39583299999998
3500022802,Dois Irmãos do Buriti,Aquidauana,0.169,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.45333299999993,-55.424999999999955
3500022818,Terenos,Serra geral,5.455,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.44333299999994,-54.86027699999994
3500022835,Dourados,Serra geral,5.07,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.24361099999993,-54.79222199999998
3500022838,Dourados,Serra geral,0.862,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.228610999999944,-54.78638799999993
3500022878,Dourados,Serra geral,8.667,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.085554999999943,-54.50638799999996
3500022902,Campo Grande,Serra geral,15.12,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.50555499999996,-54.593054999999936
3500022907,Campo Grande,Serra geral,1.368,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.534999999999968,-54.623887999999965
