cell_id,scale_km2,grid_family,area_effective_km2,question_code,question_name,n_wells,direct_evidence_n,direct_evidence_pct_of_wells,cell_state_code,cell_state_label,support_points_n,cross_scale_exact_state_support_n,cross_scale_exact_state_support_pct,cross_scale_direct_all_support_n,cross_scale_direct_some_support_n,cross_scale_direct_none_support_n,origin_exact_state_support_n,origin_exact_state_support_pct,origin_direct_all_support_n,origin_direct_some_support_n,origin_direct_none_support_n,hydro_surface_units_n,hydro_surface_domains_n,hydro_context_state,hydro_dominant_unit,hydro_dominant_domain,top_blocking_requirements,method_version
SCALE-150-O00-01828,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,4,100.0,0,0,4,4,100.0,0,0,4,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01829,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,7,100.0,0,0,7,7,100.0,0,0,7,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01830,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,4,100.0,0,0,4,4,100.0,0,0,4,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01831,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,6,6,100.0,0,0,6,6,100.0,0,0,6,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01832,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,7,100.0,0,0,7,7,100.0,0,0,7,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01833,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,4,100.0,0,0,4,4,100.0,0,0,4,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01834,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,7,100.0,0,0,7,7,100.0,0,0,7,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01835,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,7,100.0,0,0,7,7,100.0,0,0,7,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01836,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,4,100.0,0,0,4,4,100.0,0,0,4,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Depósitos aluvionares,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01837,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,7,100.0,0,0,7,7,100.0,0,0,7,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01838,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,6,5,83.333333,0,1,5,6,100.0,0,0,6,2,2,MULTIPLAS_UNIDADES_SUPERFICIAIS,Formação Pantanal,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01839,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,3,75.0,0,1,3,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Formação Furnas,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01840,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,0,0.0,0,7,0,5,71.428571,0,2,5,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Formação Furnas,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01841,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,0,0.0,0,4,0,3,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Formação Aquidauana,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01842,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,6,2,33.333333,2,EVIDENCIA_DIRETA_PRESENTE,7,6,85.714286,6,1,0,2,28.571429,2,5,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Bauru,Granular (Gr),Q01_R03=6|Q01_R05=6|Q01_R06=5|Q01_R02=4|Q01_R04=4,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01843,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,5,0,0.0,1,POCOS_SEM_EVIDENCIA_DIRETA_DA_PERGUNTA,7,0,0.0,0,7,0,0,0.0,0,7,0,2,2,MULTIPLAS_UNIDADES_SUPERFICIAIS,Grupo Bauru,Granular (Gr),Q01_R02=5|Q01_R03=5|Q01_R05=5|Q01_R06=5|Q01_R04=4,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01844,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,1,1,100.0,2,EVIDENCIA_DIRETA_PRESENTE,4,1,25.0,1,3,0,0,0.0,0,4,0,2,2,MULTIPLAS_UNIDADES_SUPERFICIAIS,Formação Botucatu,Granular (Gr),Q01_R03=1|Q01_R05=1,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
