scale_km2,question_code,origin_a,origin_b,support_points_n,exact_state_agreement_n,exact_state_agreement_pct,direct_presence_jaccard,direct_presence_mismatch_n,direct_presence_mismatch_pct,spearman_state_code,method_version
250,Q03,OX25,OXY25,14284,12019,84.143097,0.63921139,1647,11.530384,0.7314820243891959,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q03,OY25,OXY25,14284,11547,80.838701,0.57979754,1951,13.658639,0.6845861188256751,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q03,O00,OX25,14284,11285,79.004481,0.6330148,2381,16.669,0.682393225225358,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q03,O00,OY25,14284,11534,80.74769,0.67857708,2033,14.232708,0.7231934832781581,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q03,O00,OXY25,14284,10798,75.595071,0.59734513,2730,19.112293,0.6380432206194843,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q03,OX25,OY25,14284,10840,75.889107,0.61009521,2580,18.062167,0.6572447150339293,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q03,OX25,OXY25,14284,11656,81.601792,0.69452674,1959,13.714646,0.7305195993655834,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q03,OY25,OXY25,14284,11318,79.235508,0.66855654,2163,15.142817,0.7127085528613321,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q03,O00,OX25,14284,11416,79.921591,0.72563559,2331,16.318958,0.713332285466203,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q03,O00,OY25,14284,11665,81.6648,0.75254438,2091,14.638757,0.751543137971998,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q03,O00,OXY25,14284,10789,75.532064,0.66972581,2915,20.407449,0.645460692304965,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q03,OX25,OY25,14284,11216,78.521423,0.6993865,2548,17.838141,0.6929607359031033,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q03,OX25,OXY25,14284,11671,81.706805,0.73742272,2166,15.16382,0.7415476426059909,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q03,OY25,OXY25,14284,11227,78.598432,0.70413087,2514,17.600112,0.7160674203235529,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q04,O00,OX25,14284,12502,87.524503,0.54795737,1527,10.690283,0.6575588258568854,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q04,O00,OY25,14284,12811,89.687763,0.61129874,1266,8.863064,0.7187458602887462,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q04,O00,OXY25,14284,12212,85.494259,0.4972756,1753,12.272473,0.598198885410933,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q04,OX25,OY25,14284,12264,85.858303,0.49827685,1747,12.230468,0.6107185348354011,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q04,OX25,OXY25,14284,12849,89.953794,0.62136832,1212,8.485018,0.7254905942843937,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q04,OY25,OXY25,14284,12584,88.098572,0.56755943,1437,10.060207,0.6695532096568106,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q04,O00,OX25,14284,12275,85.935312,0.59036708,1752,12.265472,0.6725912812656223,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q04,O00,OY25,14284,12397,86.789415,0.62233405,1576,11.033324,0.7041921311252795,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q04,O00,OXY25,14284,11898,83.295996,0.53568182,2043,14.302716,0.6188201487761279,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q04,OX25,OY25,14284,11958,83.716046,0.54005049,2004,14.029684,0.6278350374414629,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q04,OX25,OXY25,14284,12487,87.41949,0.63063063,1517,10.620274,0.7149705310700157,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q04,OY25,OXY25,14284,12316,86.222347,0.5971723,1681,11.768412,0.686558008406991,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q04,O00,OX25,14284,11813,82.700924,0.60702988,2236,15.653878,0.6692652812309958,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q04,O00,OY25,14284,12221,85.557267,0.6622092,1844,12.909549,0.7206550306191054,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q04,O00,OXY25,14284,11485,80.404649,0.56741379,2509,17.565108,0.6250749417659274,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q04,OX25,OY25,14284,11531,80.726687,0.5766323,2464,17.25007,0.627753233392089,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q04,OX25,OXY25,14284,12204,85.438253,0.65998555,1883,13.182582,0.7214532357555653,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q04,OY25,OXY25,14284,11828,82.805937,0.61155273,2199,15.394847,0.6724311934597695,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q04,O00,OX25,14284,11660,81.629796,0.6775869,2421,16.949034,0.6780145283086138,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q04,O00,OY25,14284,11897,83.288995,0.7112256,2130,14.911789,0.7111020004478825,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q04,O00,OXY25,14284,11199,78.402408,0.63734153,2832,19.826379,0.6279970044056933,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q04,OX25,OY25,14284,11295,79.074489,0.6501552,2705,18.937272,0.6417747363442725,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q04,OX25,OXY25,14284,11874,83.127975,0.70781023,2211,15.478857,0.7115728705652471,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q04,OY25,OXY25,14284,11688,81.825819,0.70077499,2278,15.947914,0.6983385568785849,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q04,O00,OX25,14284,11897,83.288995,0.76427742,2233,15.632876,0.7023904600265117,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q04,O00,OY25,14284,12313,86.201344,0.80236699,1887,13.210585,0.7399182412690557,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q04,O00,OXY25,14284,11508,80.565668,0.7330382,2593,18.153178,0.6473744882483199,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q04,OX25,OY25,14284,11832,82.83394,0.76130996,2274,15.91991,0.6974743228343033,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q04,OX25,OXY25,14284,12189,85.33324,0.79024337,1922,13.455615,0.7448474639295058,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q04,OY25,OXY25,14284,12044,84.318118,0.77950932,2094,14.659759,0.7216407142573321,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q05,O00,OX25,14284,12335,86.355363,0.49974581,984,6.888827,0.6648676475961012,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q05,O00,OY25,14284,12657,88.609633,0.54569466,860,6.020722,0.7216437696788763,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q05,O00,OXY25,14284,11999,84.00308,0.42465753,1176,8.232988,0.6016044487610448,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q05,OX25,OY25,14284,12023,84.171101,0.42056977,1200,8.401008,0.6170444098250701,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q05,OX25,OXY25,14284,12718,89.036684,0.5616,822,5.754691,0.7273184321445252,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q05,OY25,OXY25,14284,12343,86.411369,0.48542199,1006,7.042845,0.673742215058332,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q05,O00,OX25,14284,11976,83.842061,0.51532567,1265,8.856063,0.6795082427837883,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q05,O00,OY25,14284,12122,84.864184,0.54312354,1176,8.232988,0.7077058750600945,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q05,O00,OXY25,14284,11614,81.307757,0.46528804,1448,10.137216,0.6255827677795585,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q05,OX25,OY25,14284,11612,81.293755,0.4440367,1515,10.606273,0.6319671785277374,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q05,OX25,OXY25,14284,12282,85.984318,0.56613546,1089,7.623915,0.7181380356048163,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q05,OY25,OXY25,14284,12043,84.311117,0.52373601,1234,8.639037,0.6929727816928404,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q05,O00,OX25,14284,11371,79.606553,0.51775148,1793,12.552506,0.6795348257432463,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q05,O00,OY25,14284,11831,82.826939,0.5877193,1457,10.200224,0.7320719280538018,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q05,O00,OXY25,14284,10941,76.596192,0.46504402,2066,14.463736,0.6357794027304,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
